time,datetime,step,global_step,loss,accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627091134.8851693,2021-07-23 21:45:34.885176,0,0,0.89,0.117,2.1,61.471,61.471,0.000,498.934,63.327
1627091197.277758,2021-07-23 21:46:37.277764,1,1,0.79,0.055,2.1,62.392,62.392,245.400,554.805,63.327
1627091260.32806,2021-07-23 21:47:40.328069,2,1,0.79,0.125,2.0,63.050,63.050,248.600,606.434,63.328
1627091319.3788154,2021-07-23 21:48:39.378823,3,1,0.79,0.062,2.2,59.050,59.050,261.200,629.926,63.328
1627091386.8661644,2021-07-23 21:49:46.866171,4,1,0.79,0.070,1.9,67.487,67.487,256.100,652.434,63.328
1627091470.119092,2021-07-23 21:51:10.119101,5,2,0.72,0.070,1.5,83.253,83.253,210.800,667.574,63.328
1627091552.1913044,2021-07-23 21:52:32.191312,6,4,0.63,0.047,1.6,82.072,82.072,186.900,670.539,63.328
1627091635.7076738,2021-07-23 21:53:55.707682,7,6,0.58,0.070,1.5,83.516,83.516,192.500,682.270,63.328
1627091719.0522244,2021-07-23 21:55:19.052229,8,8,0.55,0.062,1.5,83.344,83.344,184.600,680.785,63.329
1627091800.954441,2021-07-23 21:56:40.954448,9,10,0.54,0.141,1.6,81.902,81.902,192.800,682.711,63.329
1627091885.1392503,2021-07-23 21:58:05.139258,10,12,0.53,0.117,1.5,84.185,84.185,183.500,680.172,63.329
1627091967.24243,2021-07-23 21:59:27.242437,11,14,0.53,0.078,1.6,82.103,82.103,187.500,688.090,63.329
1627092050.483079,2021-07-23 22:00:50.483087,12,16,0.52,0.109,1.5,83.240,83.240,188.800,693.418,63.330
1627092133.9069443,2021-07-23 22:02:13.906953,13,18,0.52,0.117,1.5,83.424,83.424,190.700,690.660,63.330
1627092216.0493429,2021-07-23 22:03:36.049349,14,20,0.52,0.102,1.6,82.142,82.142,190.100,689.895,63.330
1627092306.401693,2021-07-23 22:05:06.401699,15,22,0.52,0.109,1.4,90.352,90.352,183.800,688.438,63.330
1627092389.247717,2021-07-23 22:06:29.247723,16,24,0.52,0.070,1.5,82.846,82.846,184.500,685.156,63.331
1627092471.5430677,2021-07-23 22:07:51.543074,17,26,0.52,0.125,1.6,82.295,82.295,190.600,693.676,63.331
1627092552.5799885,2021-07-23 22:09:12.579994,18,28,0.52,0.062,1.6,81.037,81.037,196.000,694.031,63.331
