time,datetime,step,global_step,loss,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627236078.0862722,2021-07-25 14:01:18.086529,0,0,1.58,0.9,137.708,137.708,0.000,707.324,48594.488
1627236185.6036198,2021-07-25 14:03:05.603633,1,1,1.58,1.2,107.508,107.508,416.900,927.516,48594.488
1627236290.293552,2021-07-25 14:04:50.293574,2,1,1.58,1.2,104.689,104.689,470.700,720.406,48594.488
1627236387.211295,2021-07-25 14:06:27.211313,3,1,1.58,1.3,96.917,96.917,487.600,979.465,48594.488
1627236481.80817,2021-07-25 14:08:01.808182,4,1,1.58,1.4,94.596,94.596,497.000,861.383,48594.488
1627236580.4158838,2021-07-25 14:09:40.415897,5,1,1.58,1.3,98.607,98.607,444.900,948.121,48594.488
1627236678.6096373,2021-07-25 14:11:18.609653,6,1,1.58,1.3,98.193,98.193,444.300,951.504,48594.488
1627236837.9873962,2021-07-25 14:13:57.987409,7,1,1.58,0.8,159.377,159.377,284.600,980.648,48594.488
1627236960.0488982,2021-07-25 14:16:00.048910,8,2,1.57,1.0,122.061,122.061,361.600,1287.066,48594.488
1627237084.780787,2021-07-25 14:18:04.780800,9,3,1.57,1.0,124.731,124.731,380.000,1229.422,48594.488
1627237207.4928865,2021-07-25 14:20:07.492904,10,4,1.56,1.0,122.711,122.711,338.600,1058.867,48594.488
1627237339.5336823,2021-07-25 14:22:19.533702,11,5,1.56,1.0,132.040,132.040,375.000,1127.570,48594.488
1627237462.1615536,2021-07-25 14:24:22.161568,12,6,1.56,1.0,122.627,122.627,334.900,1163.504,48594.488
1627237584.9522724,2021-07-25 14:26:24.952289,13,7,1.55,1.0,122.790,122.790,365.100,1082.520,48594.488
1627237713.4183407,2021-07-25 14:28:33.418351,14,8,1.55,1.0,128.465,128.465,344.000,1252.996,48594.488
1627237838.9495852,2021-07-25 14:30:38.949606,15,9,1.54,1.0,125.531,125.531,385.700,1335.465,48594.488
1627237967.2436924,2021-07-25 14:32:47.243706,16,10,1.54,1.0,128.293,128.293,375.600,1420.129,48594.488
1627238093.680372,2021-07-25 14:34:53.680386,17,11,1.53,1.0,126.436,126.436,334.200,1166.570,48594.488
1627238215.395891,2021-07-25 14:36:55.395909,18,12,1.53,1.1,121.715,121.715,364.900,1194.137,48594.488
1627238339.5019505,2021-07-25 14:38:59.501966,19,13,1.52,1.0,124.105,124.105,394.300,1231.699,48594.488
1627238471.3997302,2021-07-25 14:41:11.399742,20,14,1.52,1.0,131.897,131.897,380.600,1428.926,48594.488
1627238598.7851987,2021-07-25 14:43:18.785212,21,15,1.52,1.0,127.385,127.385,390.300,1609.984,48594.488
1627238724.239694,2021-07-25 14:45:24.239709,22,16,1.51,1.0,125.454,125.454,339.100,1394.363,48594.488
1627238853.6299698,2021-07-25 14:47:33.629981,23,17,1.51,1.0,129.390,129.390,397.500,1490.277,48594.488
1627238979.8748,2021-07-25 14:49:39.874814,24,18,1.50,1.0,126.244,126.244,392.700,1281.875,48594.488
1627239105.321072,2021-07-25 14:51:45.321087,25,19,1.50,1.0,125.446,125.446,358.500,1439.887,48594.488
1627239231.4036505,2021-07-25 14:53:51.403665,26,20,1.49,1.0,126.082,126.082,365.400,1569.676,48594.488
1627239360.2099116,2021-07-25 14:56:00.209923,27,21,1.49,1.0,128.806,128.806,401.400,1652.180,48594.488
1627239484.9782598,2021-07-25 14:58:04.978274,28,22,1.49,1.0,124.768,124.768,377.300,1640.422,48594.488
1627239613.8866982,2021-07-25 15:00:13.886714,29,23,1.48,1.0,128.908,128.908,382.700,1323.707,48594.488
1627239741.191248,2021-07-25 15:02:21.191263,30,24,1.48,1.0,127.304,127.304,401.500,1433.676,48594.488
1627239864.0012786,2021-07-25 15:04:24.001294,31,25,1.47,1.0,122.809,122.809,370.900,1548.414,48594.488
1627239991.773001,2021-07-25 15:06:31.773015,32,26,1.47,1.0,127.771,127.771,384.600,1349.285,48594.488
1627240118.5156925,2021-07-25 15:08:38.515708,33,27,1.46,1.0,126.742,126.742,330.400,1597.746,48594.488
1627240247.3307228,2021-07-25 15:10:47.330738,34,28,1.46,1.0,128.814,128.814,376.800,1504.336,48594.488
1627240371.3771327,2021-07-25 15:12:51.377152,35,29,1.45,1.0,124.046,124.046,362.000,1461.141,48594.488
1627240493.9235837,2021-07-25 15:14:53.923594,36,30,1.45,1.0,122.546,122.546,333.000,1513.039,48594.488
1627240618.691076,2021-07-25 15:16:58.691090,37,31,1.45,1.0,124.767,124.767,396.100,1379.980,48594.488
1627240744.6352532,2021-07-25 15:19:04.635270,38,32,1.44,1.0,125.944,125.944,415.200,1376.426,48594.488
1627240868.7561173,2021-07-25 15:21:08.756135,39,33,1.44,1.0,124.120,124.120,372.600,1382.168,48594.488
1627240991.6569662,2021-07-25 15:23:11.656977,40,34,1.43,1.0,122.900,122.900,429.900,1438.492,48594.488
1627241120.6631334,2021-07-25 15:25:20.663148,41,35,1.43,1.0,129.006,129.006,367.300,1559.777,48594.488
1627241241.5744889,2021-07-25 15:27:21.574500,42,36,1.42,1.1,120.911,120.911,410.900,1588.207,48594.488
1627241367.418585,2021-07-25 15:29:27.418600,43,37,1.42,1.0,125.844,125.844,401.700,1465.137,48594.488
1627241494.7910163,2021-07-25 15:31:34.791029,44,38,1.41,1.0,127.372,127.372,353.200,1765.266,48594.488
1627241619.696115,2021-07-25 15:33:39.696130,45,39,1.41,1.0,124.905,124.905,385.200,1569.289,48594.488
1627241743.0446534,2021-07-25 15:35:43.044665,46,40,1.41,1.0,123.347,123.347,327.000,1656.520,48594.492
1627241865.4732425,2021-07-25 15:37:45.473253,47,41,1.40,1.0,122.428,122.428,352.700,1399.645,48594.492
1627241991.7420545,2021-07-25 15:39:51.742068,48,42,1.40,1.0,126.268,126.268,389.400,1623.965,48594.492
1627242116.8467515,2021-07-25 15:41:56.846761,49,43,1.39,1.0,125.104,125.104,420.100,1706.809,48594.492
1627242245.4091198,2021-07-25 15:44:05.409136,50,44,1.39,1.0,128.562,128.562,410.800,1691.473,48594.492
1627242371.9277904,2021-07-25 15:46:11.927811,51,45,1.38,1.0,126.518,126.518,366.200,1567.465,48594.492
1627242499.4224446,2021-07-25 15:48:19.422458,52,46,1.38,1.0,127.494,127.494,396.800,1397.004,48594.492
1627242627.7471933,2021-07-25 15:50:27.747210,53,47,1.37,1.0,128.324,128.324,373.000,1414.527,48594.492
1627242754.133875,2021-07-25 15:52:34.133889,54,48,1.37,1.0,126.386,126.386,392.300,1608.965,48594.492
1627242882.7848063,2021-07-25 15:54:42.784821,55,49,1.36,1.0,128.650,128.650,362.500,1671.332,48594.492
1627243006.934419,2021-07-25 15:56:46.934435,56,50,1.36,1.0,124.149,124.149,374.300,1414.238,48594.492
1627243135.9320207,2021-07-25 15:58:55.932032,57,51,1.36,1.0,128.997,128.997,382.000,1422.379,48594.492
1627243264.2255807,2021-07-25 16:01:04.225596,58,52,1.35,1.0,128.293,128.293,396.100,1475.734,48594.492
1627243391.4973266,2021-07-25 16:03:11.497340,59,53,1.35,1.0,127.271,127.271,415.400,1719.766,48594.492
1627243520.4564188,2021-07-25 16:05:20.456433,60,54,1.34,1.0,128.959,128.959,341.500,1700.531,48594.492
1627243648.8461156,2021-07-25 16:07:28.846130,61,55,1.34,1.0,128.389,128.389,396.500,1543.230,48594.492
1627243772.170709,2021-07-25 16:09:32.170722,62,56,1.33,1.0,123.324,123.324,397.600,1786.047,48594.492
1627243895.0463562,2021-07-25 16:11:35.046367,63,57,1.33,1.0,122.875,122.875,376.600,1416.660,48594.492
1627244021.5626893,2021-07-25 16:13:41.562705,64,58,1.33,1.0,126.516,126.516,401.200,1619.496,48594.492
1627244145.9389427,2021-07-25 16:15:45.938960,65,59,1.32,1.0,124.376,124.376,407.000,1421.324,48594.492
1627244284.9977808,2021-07-25 16:18:04.997793,66,60,1.32,0.9,139.058,139.058,366.000,1697.676,48594.492
1627244410.935519,2021-07-25 16:20:10.935533,67,61,1.31,1.0,125.937,125.937,405.400,1417.031,48594.492
1627244541.067108,2021-07-25 16:22:21.067121,68,62,1.31,1.0,130.131,130.131,392.900,1414.836,48594.492
1627244668.1994348,2021-07-25 16:24:28.199448,69,63,1.31,1.0,127.132,127.132,365.400,1442.824,48594.492
1627244796.8384767,2021-07-25 16:26:36.838488,70,64,1.30,1.0,128.639,128.639,365.200,1452.387,48594.492
1627244925.2210343,2021-07-25 16:28:45.221065,71,65,1.30,1.0,128.382,128.382,372.300,1610.961,48594.492
1627245052.383783,2021-07-25 16:30:52.383800,72,66,1.29,1.0,127.162,127.162,371.600,1675.375,48594.492
1627245183.916824,2021-07-25 16:33:03.916841,73,67,1.29,1.0,131.532,131.532,391.600,1423.090,48594.492
1627245317.187943,2021-07-25 16:35:17.187956,74,68,1.29,1.0,133.270,133.270,356.900,1617.184,48594.492
1627245447.346536,2021-07-25 16:37:27.346551,75,69,1.28,1.0,130.158,130.158,393.700,1598.789,48594.492
1627245571.3449378,2021-07-25 16:39:31.344950,76,70,1.28,1.0,123.998,123.998,412.000,1825.773,48594.492
1627245697.4761837,2021-07-25 16:41:37.476198,77,71,1.28,1.0,126.131,126.131,381.400,1427.934,48594.492
1627245822.5251253,2021-07-25 16:43:42.525145,78,72,1.27,1.0,125.048,125.048,370.700,1429.754,48594.492
1627245945.5645037,2021-07-25 16:45:45.564518,79,73,1.27,1.0,123.038,123.038,358.200,1721.793,48594.492
1627246071.3174314,2021-07-25 16:47:51.317447,80,74,1.27,1.0,125.752,125.752,352.500,1719.863,48594.492
1627246195.7215464,2021-07-25 16:49:55.721561,81,75,1.27,1.0,124.403,124.403,392.200,1486.320,48594.492
1627246320.3544261,2021-07-25 16:52:00.354438,82,76,1.26,1.0,124.632,124.632,375.300,1649.637,48594.492
1627246446.0264728,2021-07-25 16:54:06.026488,83,77,1.26,1.0,125.671,125.671,387.300,1435.562,48594.492
1627246572.6847076,2021-07-25 16:56:12.684724,84,78,1.26,1.0,126.658,126.658,380.700,1435.727,48594.492
1627246698.4112213,2021-07-25 16:58:18.411234,85,79,1.26,1.0,125.726,125.726,374.000,1452.820,48594.492
1627246823.6090703,2021-07-25 17:00:23.609085,86,80,1.25,1.0,125.197,125.197,404.200,1573.578,48594.492
1627246947.1453285,2021-07-25 17:02:27.145342,87,81,1.25,1.0,123.536,123.536,414.900,1692.488,48594.492
1627247082.0111394,2021-07-25 17:04:42.011152,88,82,1.25,0.9,134.865,134.865,372.400,1721.051,48594.492
1627247207.543887,2021-07-25 17:06:47.543900,89,83,1.25,1.0,125.532,125.532,397.800,1667.105,48594.492
1627247334.8129783,2021-07-25 17:08:54.813002,90,84,1.24,1.0,127.268,127.268,379.500,1430.965,48594.492
1627247463.5579321,2021-07-25 17:11:03.557953,91,85,1.24,1.0,128.744,128.744,353.600,1612.902,48594.492
1627247590.6581473,2021-07-25 17:13:10.658163,92,86,1.24,1.0,127.099,127.099,389.400,1432.695,48594.492
1627247719.6970577,2021-07-25 17:15:19.697074,93,87,1.24,1.0,129.038,129.038,352.900,1434.723,48594.492
1627247847.111612,2021-07-25 17:17:27.111624,94,88,1.24,1.0,127.414,127.414,380.100,1429.652,48594.492
1627247980.2112007,2021-07-25 17:19:40.211223,95,89,1.24,1.0,133.099,133.099,378.000,1434.469,48594.492
1627248113.0543911,2021-07-25 17:21:53.054408,96,90,1.23,1.0,132.842,132.842,360.900,1439.535,48594.492
1627248241.9714875,2021-07-25 17:24:01.971502,97,91,1.23,1.0,128.916,128.916,387.600,1653.770,48594.492
1627248371.1979196,2021-07-25 17:26:11.197936,98,92,1.23,1.0,129.226,129.226,377.500,1439.031,48594.492
1627248498.6055813,2021-07-25 17:28:18.605593,99,93,1.23,1.0,127.407,127.407,349.400,1443.699,48594.492
1627248626.1209645,2021-07-25 17:30:26.120982,100,94,1.23,1.0,127.515,127.515,360.400,1590.965,48594.492
1627248752.8648555,2021-07-25 17:32:32.864868,101,95,1.23,1.0,126.743,126.743,360.500,1794.250,48594.492
1627248881.4875603,2021-07-25 17:34:41.487575,102,96,1.23,1.0,128.622,128.622,387.700,1727.613,48594.492
1627249007.6281145,2021-07-25 17:36:47.628130,103,97,1.23,1.0,126.140,126.140,400.600,1568.852,48594.492
1627249137.4705548,2021-07-25 17:38:57.470568,104,98,1.22,1.0,129.842,129.842,378.200,1798.500,48594.492
1627249263.627088,2021-07-25 17:41:03.627100,105,99,1.22,1.0,126.156,126.156,385.100,1694.562,48594.492
1627249387.026973,2021-07-25 17:43:07.026989,106,100,1.22,1.0,123.399,123.399,395.600,1464.695,48594.492
1627249520.003589,2021-07-25 17:45:20.003600,107,101,1.22,1.0,132.976,132.976,359.400,1733.352,48594.492
1627249646.544518,2021-07-25 17:47:26.544533,108,102,1.22,1.0,126.540,126.540,389.600,1437.055,48594.492
1627249774.02138,2021-07-25 17:49:34.021410,109,103,1.22,1.0,127.476,127.476,395.900,1613.707,48594.492
1627249902.0174158,2021-07-25 17:51:42.017436,110,104,1.22,1.0,127.995,127.995,401.800,1622.180,48594.492
1627250030.0312994,2021-07-25 17:53:50.031314,111,105,1.22,1.0,128.013,128.013,399.500,1723.957,48594.492
1627250156.5181787,2021-07-25 17:55:56.518197,112,106,1.22,1.0,126.486,126.486,407.100,1437.477,48594.492
1627250285.4740722,2021-07-25 17:58:05.474086,113,107,1.22,1.0,128.955,128.955,386.900,1433.680,48594.492
1627250420.9932928,2021-07-25 18:00:20.993307,114,108,1.22,0.9,135.519,135.519,356.900,1572.156,48594.492
1627250548.1389115,2021-07-25 18:02:28.138933,115,109,1.22,1.0,127.145,127.145,389.200,1441.422,48594.492
1627250675.0502481,2021-07-25 18:04:35.050262,116,110,1.22,1.0,126.911,126.911,394.100,1694.480,48594.492
1627250808.5549827,2021-07-25 18:06:48.555000,117,111,1.22,1.0,133.504,133.504,372.200,1762.895,48594.492
1627250933.3894491,2021-07-25 18:08:53.389463,118,112,1.22,1.0,124.834,124.834,385.300,1439.574,48594.492
1627251059.9549453,2021-07-25 18:10:59.954960,119,113,1.21,1.0,126.565,126.565,378.600,1533.141,48594.492
1627251190.588863,2021-07-25 18:13:10.588878,120,114,1.21,1.0,130.633,130.633,402.900,1519.176,48594.492
1627251320.0745006,2021-07-25 18:15:20.074520,121,115,1.21,1.0,129.485,129.485,425.400,1658.746,48594.492
1627251449.639886,2021-07-25 18:17:29.639899,122,116,1.21,1.0,129.565,129.565,415.000,1654.637,48594.492
1627251575.5019565,2021-07-25 18:19:35.501971,123,117,1.21,1.0,125.862,125.862,404.100,1621.109,48594.492
1627251707.5260787,2021-07-25 18:21:47.526089,124,118,1.21,1.0,132.023,132.023,370.700,1709.543,48594.492
1627251835.8077352,2021-07-25 18:23:55.807751,125,119,1.21,1.0,128.281,128.281,391.200,1730.555,48594.492
1627251959.9632056,2021-07-25 18:25:59.963218,126,120,1.21,1.0,124.155,124.155,403.200,1623.301,48594.492
1627252087.5500703,2021-07-25 18:28:07.550085,127,121,1.21,1.0,127.586,127.586,402.000,1441.844,48594.492
1627252209.850236,2021-07-25 18:30:09.850248,128,122,1.21,1.0,122.300,122.300,406.300,1444.727,48594.492
1627252338.4437644,2021-07-25 18:32:18.443784,129,123,1.21,1.0,128.593,128.593,394.300,1692.480,48594.492
1627252463.5695403,2021-07-25 18:34:23.569552,130,124,1.21,1.0,125.125,125.125,398.700,1737.691,48594.492
1627252588.7719662,2021-07-25 18:36:28.771980,131,125,1.21,1.0,125.202,125.202,412.300,1443.477,48594.492
1627252714.9002526,2021-07-25 18:38:34.900274,132,126,1.21,1.0,126.128,126.128,405.500,1448.461,48594.492
1627252840.3165946,2021-07-25 18:40:40.316608,133,127,1.21,1.0,125.415,125.415,425.000,1557.664,48594.492
1627252967.708901,2021-07-25 18:42:47.708919,134,128,1.21,1.0,127.392,127.392,416.700,1446.246,48594.492
1627253094.5837584,2021-07-25 18:44:54.583774,135,129,1.21,1.0,126.874,126.874,419.400,1443.906,48594.492
1627253224.3022184,2021-07-25 18:47:04.302233,136,130,1.21,1.0,129.718,129.718,381.600,1504.004,48594.492
1627253349.6549788,2021-07-25 18:49:09.654993,137,131,1.21,1.0,125.352,125.352,382.000,1544.844,48594.492
1627253476.9892893,2021-07-25 18:51:16.989302,138,132,1.21,1.0,127.334,127.334,388.500,1501.699,48594.492
1627253610.0895479,2021-07-25 18:53:30.089564,139,133,1.21,1.0,133.100,133.100,391.700,1734.316,48594.492
1627253739.03751,2021-07-25 18:55:39.037526,140,134,1.21,1.0,128.947,128.947,392.000,1621.746,48594.492
