time,datetime,step,global_step,loss,accuracy,val_accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1626931302.1477435,2021-07-22 01:21:42.147749,0,0,1.58,0.070,0.000,1.4,93.346,93.346,0.000,575.367,63.106
1626931389.355289,2021-07-22 01:23:09.355292,1,2,1.58,0.109,0.000,1.5,87.207,87.207,347.700,642.316,63.106
1626931478.6501443,2021-07-22 01:24:38.650147,2,6,1.58,0.180,0.000,1.4,89.295,89.295,340.300,710.559,63.106
1626931580.576586,2021-07-22 01:26:20.576590,3,11,1.58,0.117,0.000,1.3,101.926,101.926,299.700,773.680,63.106
1626931679.9309657,2021-07-22 01:27:59.930970,4,16,1.58,0.133,0.000,1.3,99.354,99.354,306.500,791.023,63.106
1626931770.6541924,2021-07-22 01:29:30.654196,5,21,1.58,0.086,0.000,1.4,90.723,90.723,334.400,809.215,63.106
1626931852.7254262,2021-07-22 01:30:52.725430,6,24,1.57,0.094,0.000,1.6,82.071,82.071,367.600,830.008,63.106
1626931946.205082,2021-07-22 01:32:26.205085,7,29,1.57,0.062,0.000,1.4,93.479,93.479,325.100,837.508,63.106
