time,datetime,step,global_step,loss,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627241619.6816967,2021-07-25 15:33:39.681704,48,39,1.41,1.0,124.897,124.897,227.500,932.359,63.385
1627241743.039361,2021-07-25 15:35:43.039366,49,40,1.41,1.0,123.357,123.357,231.900,932.141,63.385
1627241865.409756,2021-07-25 15:37:45.409763,50,41,1.40,1.0,122.370,122.370,230.900,930.375,63.385
1627241991.7373745,2021-07-25 15:39:51.737381,51,42,1.40,1.0,126.327,126.327,226.100,930.281,63.385
1627242116.8492432,2021-07-25 15:41:56.849251,52,43,1.39,1.0,125.111,125.111,228.200,931.102,63.385
1627242245.407389,2021-07-25 15:44:05.407395,53,44,1.39,1.0,128.558,128.558,217.500,932.887,63.385
1627242371.9179797,2021-07-25 15:46:11.917986,54,45,1.38,1.0,126.510,126.510,226.300,929.793,63.385
1627242499.4136355,2021-07-25 15:48:19.413660,55,46,1.38,1.0,127.495,127.495,218.000,934.062,63.385
1627242627.7386034,2021-07-25 15:50:27.738611,56,47,1.37,1.0,128.325,128.325,223.100,927.824,63.385
1627242754.124769,2021-07-25 15:52:34.124776,57,48,1.37,1.0,126.386,126.386,225.800,930.141,63.385
1627242882.7754045,2021-07-25 15:54:42.775410,58,49,1.36,1.0,128.650,128.650,219.900,928.914,63.385
1627243006.9249842,2021-07-25 15:56:46.924992,59,50,1.36,1.0,124.149,124.149,228.400,930.852,63.385
1627243135.9277136,2021-07-25 15:58:55.927720,60,51,1.36,1.0,129.002,129.002,215.800,930.090,63.385
1627243264.217192,2021-07-25 16:01:04.217200,61,52,1.35,1.0,128.289,128.289,219.600,932.711,63.385
1627243391.4905622,2021-07-25 16:03:11.490570,62,53,1.35,1.0,127.273,127.273,224.100,927.035,63.385
1627243520.4496522,2021-07-25 16:05:20.449658,63,54,1.34,1.0,128.959,128.959,222.100,931.078,63.385
1627243648.8341653,2021-07-25 16:07:28.834173,64,55,1.34,1.0,128.384,128.384,221.300,930.223,63.385
1627243772.1649418,2021-07-25 16:09:32.164949,65,56,1.33,1.0,123.330,123.330,228.000,937.668,63.385
1627243895.0438392,2021-07-25 16:11:35.043844,66,57,1.33,1.0,122.878,122.878,228.200,931.070,63.385
1627244021.5424275,2021-07-25 16:13:41.542431,67,58,1.33,1.0,126.498,126.498,225.700,935.277,63.385
1627244145.6735222,2021-07-25 16:15:45.673528,68,59,1.32,1.0,124.131,124.131,227.400,936.156,63.385
1627244284.989687,2021-07-25 16:18:04.989694,69,60,1.32,0.9,139.316,139.316,199.300,934.750,63.385
1627244410.9264555,2021-07-25 16:20:10.926464,70,61,1.31,1.0,125.936,125.936,221.200,933.211,63.385
1627244541.050892,2021-07-25 16:22:21.050896,71,62,1.31,1.0,130.124,130.124,215.900,936.047,63.385
1627244668.1894252,2021-07-25 16:24:28.189431,72,63,1.31,1.0,127.138,127.138,220.100,931.191,63.385
1627244796.7501726,2021-07-25 16:26:36.750179,73,64,1.30,1.0,128.560,128.560,216.000,935.203,63.385
1627244925.2114146,2021-07-25 16:28:45.211421,74,65,1.30,1.0,128.461,128.461,215.900,939.219,63.385
1627245052.3754365,2021-07-25 16:30:52.375443,75,66,1.29,1.0,127.164,127.164,218.700,933.000,63.385
1627245183.9115024,2021-07-25 16:33:03.911508,76,67,1.29,1.0,131.536,131.536,216.500,936.426,63.385
1627245317.1824343,2021-07-25 16:35:17.182441,77,68,1.29,1.0,133.271,133.271,208.800,937.758,63.385
1627245447.3371563,2021-07-25 16:37:27.337163,78,69,1.28,1.0,130.154,130.154,214.800,932.980,63.385
1627245571.3378842,2021-07-25 16:39:31.337889,79,70,1.28,1.0,124.000,124.000,223.800,936.605,63.385
1627245697.4682727,2021-07-25 16:41:37.468278,80,71,1.28,1.0,126.130,126.130,220.000,937.832,63.385
1627245822.4710639,2021-07-25 16:43:42.471071,81,72,1.27,1.0,125.002,125.002,221.700,939.816,63.385
1627245945.5544875,2021-07-25 16:45:45.554494,82,73,1.27,1.0,123.083,123.083,225.700,938.648,63.385
1627246071.3088162,2021-07-25 16:47:51.308823,83,74,1.27,1.0,125.754,125.754,220.200,933.617,63.385
1627246195.7128592,2021-07-25 16:49:55.712866,84,75,1.27,1.0,124.404,124.404,194.100,934.988,63.385
1627246320.3363307,2021-07-25 16:52:00.336335,85,76,1.26,1.0,124.623,124.623,200.400,937.176,63.385
1627246446.0122435,2021-07-25 16:54:06.012248,86,77,1.26,1.0,125.676,125.676,196.900,936.262,63.385
1627246572.6758657,2021-07-25 16:56:12.675870,87,78,1.26,1.0,126.663,126.663,187.500,939.395,63.385
1627246698.2461162,2021-07-25 16:58:18.246120,88,79,1.26,1.0,125.570,125.570,190.900,937.910,63.385
1627246823.591977,2021-07-25 17:00:23.591982,89,80,1.25,1.0,125.346,125.346,203.600,937.234,63.385
1627246947.1395571,2021-07-25 17:02:27.139562,90,81,1.25,1.0,123.547,123.547,213.900,940.133,63.385
1627247082.0051725,2021-07-25 17:04:42.005177,91,82,1.25,0.9,134.865,134.865,191.600,940.422,63.385
1627247207.5330098,2021-07-25 17:06:47.533015,92,83,1.25,1.0,125.527,125.527,208.300,942.430,63.386
1627247334.804256,2021-07-25 17:08:54.804261,93,84,1.24,1.0,127.271,127.271,203.100,937.605,63.386
1627247463.5393198,2021-07-25 17:11:03.539325,94,85,1.24,1.0,128.735,128.735,202.300,937.344,63.386
1627247590.6438928,2021-07-25 17:13:10.643897,95,86,1.24,1.0,127.104,127.104,203.700,940.445,63.387
1627247719.6811826,2021-07-25 17:15:19.681188,96,87,1.24,1.0,129.037,129.037,205.800,936.375,63.387
1627247847.0295086,2021-07-25 17:17:27.029513,97,88,1.24,1.0,127.348,127.348,206.400,936.043,63.387
1627247980.1975198,2021-07-25 17:19:40.197526,98,89,1.24,1.0,133.168,133.168,196.600,937.832,63.388
1627248113.0392191,2021-07-25 17:21:53.039223,99,90,1.23,1.0,132.841,132.841,197.500,936.902,63.388
1627248241.9612355,2021-07-25 17:24:01.961241,100,91,1.23,1.0,128.922,128.922,200.100,938.410,63.388
1627248371.1902354,2021-07-25 17:26:11.190241,101,92,1.23,1.0,129.229,129.229,210.900,935.691,63.388
1627248498.604239,2021-07-25 17:28:18.604244,102,93,1.23,1.0,127.414,127.414,208.300,941.012,63.389
1627248626.1086006,2021-07-25 17:30:26.108606,103,94,1.23,1.0,127.504,127.504,203.800,938.660,63.389
1627248752.8534606,2021-07-25 17:32:32.853464,104,95,1.23,1.0,126.745,126.745,216.900,936.879,63.389
1627248881.4787846,2021-07-25 17:34:41.478792,105,96,1.23,1.0,128.625,128.625,200.100,939.934,63.390
1627249007.6160498,2021-07-25 17:36:47.616055,106,97,1.23,1.0,126.137,126.137,204.100,937.289,63.390
1627249137.4650767,2021-07-25 17:38:57.465081,107,98,1.22,1.0,129.849,129.849,199.100,940.578,63.391
1627249263.6138787,2021-07-25 17:41:03.613883,108,99,1.22,1.0,126.149,126.149,223.800,939.688,63.391
1627249387.0177412,2021-07-25 17:43:07.017747,109,100,1.22,1.0,123.404,123.404,208.500,940.980,63.391
1627249520.0002372,2021-07-25 17:45:20.000245,110,101,1.22,1.0,132.982,132.982,212.500,937.098,63.391
1627249646.5358858,2021-07-25 17:47:26.535893,111,102,1.22,1.0,126.535,126.535,223.800,942.145,63.391
1627249774.012925,2021-07-25 17:49:34.012933,112,103,1.22,1.0,127.477,127.477,220.100,938.562,63.391
1627249902.0083416,2021-07-25 17:51:42.008347,113,104,1.22,1.0,127.995,127.995,223.200,934.285,63.391
1627250030.0249875,2021-07-25 17:53:50.024993,114,105,1.22,1.0,128.016,128.016,217.600,936.797,63.391
1627250156.4538825,2021-07-25 17:55:56.453888,115,106,1.22,1.0,126.429,126.429,220.300,940.594,63.391
1627250285.4682395,2021-07-25 17:58:05.468245,116,107,1.22,1.0,129.014,129.014,213.100,937.379,63.391
1627250420.983398,2021-07-25 18:00:20.983405,117,108,1.22,0.9,135.515,135.515,208.300,936.488,63.391
1627250548.1297143,2021-07-25 18:02:28.129720,118,109,1.22,1.0,127.146,127.146,223.300,937.961,63.391
1627250675.0417073,2021-07-25 18:04:35.041713,119,110,1.22,1.0,126.912,126.912,224.100,934.203,63.391
1627250808.5486805,2021-07-25 18:06:48.548686,120,111,1.22,1.0,133.507,133.507,213.800,937.684,63.391
1627250933.387814,2021-07-25 18:08:53.387820,121,112,1.22,1.0,124.839,124.839,226.100,941.434,63.391
1627251059.9481406,2021-07-25 18:10:59.948146,122,113,1.21,1.0,126.560,126.560,221.500,937.742,63.391
1627251190.5802355,2021-07-25 18:13:10.580244,123,114,1.21,1.0,130.632,130.632,214.300,933.941,63.391
1627251320.069827,2021-07-25 18:15:20.069835,124,115,1.21,1.0,129.489,129.489,221.000,937.207,63.391
1627251449.6344213,2021-07-25 18:17:29.634427,125,116,1.21,1.0,129.564,129.564,218.600,940.957,63.391
1627251575.4915152,2021-07-25 18:19:35.491523,126,117,1.21,1.0,125.857,125.857,224.200,939.777,63.391
1627251707.523445,2021-07-25 18:21:47.523450,127,118,1.21,1.0,132.031,132.031,216.100,935.363,63.391
1627251835.7988288,2021-07-25 18:23:55.798835,128,119,1.21,1.0,128.275,128.275,222.700,942.430,63.391
1627251959.954679,2021-07-25 18:25:59.954685,129,120,1.21,1.0,124.155,124.155,223.500,941.027,63.391
1627252087.5396674,2021-07-25 18:28:07.539675,130,121,1.21,1.0,127.585,127.585,224.000,936.500,63.391
1627252209.8363686,2021-07-25 18:30:09.836376,131,122,1.21,1.0,122.296,122.296,232.300,937.699,63.391
1627252338.4287748,2021-07-25 18:32:18.428782,132,123,1.21,1.0,128.592,128.592,222.100,935.434,63.391
1627252463.5643234,2021-07-25 18:34:23.564329,133,124,1.21,1.0,125.135,125.135,227.200,940.652,63.391
1627252588.7651026,2021-07-25 18:36:28.765108,134,125,1.21,1.0,125.200,125.200,223.900,939.840,63.391
1627252714.8922331,2021-07-25 18:38:34.892240,135,126,1.21,1.0,126.127,126.127,221.600,942.883,63.391
1627252840.3122985,2021-07-25 18:40:40.312306,136,127,1.21,1.0,125.420,125.420,226.000,940.492,63.391
1627252967.7061098,2021-07-25 18:42:47.706116,137,128,1.21,1.0,127.393,127.393,221.300,942.348,63.391
1627253094.393565,2021-07-25 18:44:54.393571,138,129,1.21,1.0,126.687,126.687,225.000,938.312,63.391
1627253224.2965183,2021-07-25 18:47:04.296525,139,130,1.21,1.0,129.903,129.903,216.500,941.270,63.391
1627253349.650391,2021-07-25 18:49:09.650397,140,131,1.21,1.0,125.353,125.353,227.700,936.598,63.391
1627253476.9854965,2021-07-25 18:51:16.985504,141,132,1.21,1.0,127.335,127.335,221.800,936.637,63.391
1627253610.081843,2021-07-25 18:53:30.081849,142,133,1.21,1.0,133.096,133.096,211.200,940.598,63.391
1627253739.0329869,2021-07-25 18:55:39.032993,143,134,1.21,1.0,128.951,128.951,222.200,937.477,63.391
