time,datetime,step,global_step,loss,accuracy,val_accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627190630.7735434,2021-07-25 01:23:50.773549,0,1,2.82,0.087,0.094,7.3,17.545,17.545,0.000,1492.469,3371.413
1627190636.1432958,2021-07-25 01:23:56.143300,1,1,2.81,0.085,0.062,23.8,5.370,5.370,982.200,1587.141,3371.413
1627190641.4513547,2021-07-25 01:24:01.451359,2,1,2.82,0.088,0.062,24.1,5.308,5.308,979.100,1677.828,3371.413
1627190646.755549,2021-07-25 01:24:06.755553,3,1,2.76,0.095,0.125,24.1,5.304,5.304,988.300,1753.281,3371.413
1627190654.2835038,2021-07-25 01:24:14.283508,4,1,2.75,0.096,0.250,17.0,7.528,7.528,681.500,1760.469,3371.413
1627190663.3653567,2021-07-25 01:24:23.365361,5,3,2.77,0.093,0.062,14.1,9.082,9.082,577.200,1777.137,3371.413
1627190671.8160493,2021-07-25 01:24:31.816054,6,5,2.71,0.095,0.094,15.1,8.451,8.451,618.400,1791.422,3371.413
1627190678.7214224,2021-07-25 01:24:38.721426,7,7,2.64,0.101,0.062,18.5,6.905,6.905,758.100,1806.629,3371.413
1627190685.8202834,2021-07-25 01:24:45.820287,8,9,2.61,0.110,0.188,18.0,7.099,7.099,733.600,1814.254,3371.413
1627190694.1151874,2021-07-25 01:24:54.115193,9,11,2.53,0.124,0.094,15.4,8.295,8.295,623.600,1813.250,3371.413
1627190702.9528534,2021-07-25 01:25:02.952858,10,13,2.55,0.135,0.062,14.5,8.837,8.837,586.200,1820.539,3371.413
1627190711.840432,2021-07-25 01:25:11.840436,11,15,2.54,0.144,0.000,14.4,8.887,8.887,576.300,1818.977,3371.413
1627190720.695346,2021-07-25 01:25:20.695350,12,17,2.43,0.154,0.156,14.5,8.855,8.855,589.200,1828.078,3371.413
1627190729.5073755,2021-07-25 01:25:29.507380,13,19,2.50,0.163,0.125,14.5,8.812,8.812,577.300,1833.004,3371.413
1627190736.672485,2021-07-25 01:25:36.672489,14,21,2.46,0.170,0.125,17.9,7.165,7.165,732.900,1834.445,3371.413
1627190743.6047955,2021-07-25 01:25:43.604799,15,23,2.48,0.176,0.062,18.5,6.932,6.932,747.100,1839.020,3371.413
1627190750.8453817,2021-07-25 01:25:50.845386,16,25,2.43,0.184,0.156,17.7,7.240,7.240,719.800,1841.457,3371.413
1627190759.618768,2021-07-25 01:25:59.618772,17,27,2.36,0.189,0.125,14.6,8.773,8.773,601.900,1842.074,3371.413
1627190767.863282,2021-07-25 01:26:07.863286,18,29,2.43,0.194,0.125,15.5,8.244,8.244,627.800,1845.859,3371.413
1627190775.367307,2021-07-25 01:26:15.367311,19,31,2.34,0.201,0.062,17.1,7.504,7.504,695.100,1844.734,3371.413
1627190782.3337905,2021-07-25 01:26:22.333794,20,33,2.33,0.205,0.062,18.4,6.966,6.966,749.400,1851.320,3371.413
1627190789.4986713,2021-07-25 01:26:29.498675,21,35,2.24,0.210,0.062,17.9,7.165,7.165,721.700,1852.262,3371.413
1627190796.8483725,2021-07-25 01:26:36.848376,22,37,2.26,0.216,0.062,17.4,7.350,7.350,707.600,1852.293,3371.413
1627190804.2801924,2021-07-25 01:26:44.280196,23,39,2.32,0.223,0.031,17.2,7.432,7.432,698.600,1852.195,3371.413
1627190811.8390856,2021-07-25 01:26:51.839089,24,41,2.27,0.226,0.062,16.9,7.559,7.559,692.700,1852.648,3371.413
1627190820.3109825,2021-07-25 01:27:00.310986,25,43,2.25,0.231,0.031,15.1,8.472,8.472,608.700,1855.125,3371.413
1627190829.281261,2021-07-25 01:27:09.281265,26,45,2.18,0.236,0.031,14.3,8.970,8.970,595.600,1855.270,3371.413
1627190836.3810716,2021-07-25 01:27:16.381075,27,47,2.22,0.239,0.156,18.0,7.100,7.100,739.700,1854.582,3371.413
1627190843.4737384,2021-07-25 01:27:23.473743,28,49,2.11,0.243,0.094,18.0,7.093,7.093,733.000,1853.227,3371.413
1627190851.1914613,2021-07-25 01:27:31.191465,29,51,2.17,0.247,0.062,16.6,7.718,7.718,683.000,1853.691,3371.413
1627190858.5666983,2021-07-25 01:27:38.566702,30,53,2.12,0.251,0.062,17.4,7.375,7.375,708.900,1850.648,3371.413
