time,datetime,step,global_step,loss,accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627091152.260763,2021-07-23 21:45:52.260829,0,0,0.89,0.086,1.6,79.171,79.171,0.000,537.066,48589.714
1627091217.6294413,2021-07-23 21:46:57.629473,1,1,0.79,0.094,2.0,65.367,65.367,453.400,632.387,48589.714
1627091283.3158958,2021-07-23 21:48:03.315923,2,1,0.79,0.062,1.9,65.685,65.685,518.000,690.371,48589.714
1627091348.676344,2021-07-23 21:49:08.676372,3,1,0.79,0.133,2.0,65.359,65.359,466.000,736.738,48589.714
1627091427.9835835,2021-07-23 21:50:27.983612,4,1,0.79,0.125,1.6,79.306,79.306,407.900,784.055,48589.714
1627091511.753561,2021-07-23 21:51:51.753590,5,3,0.67,0.109,1.5,83.769,83.769,329.000,796.965,48589.714
1627091593.9830794,2021-07-23 21:53:13.983094,6,5,0.60,0.156,1.6,82.228,82.228,347.700,827.676,48589.714
1627091677.8277621,2021-07-23 21:54:37.827789,7,7,0.56,0.117,1.5,83.844,83.844,347.100,844.664,48589.714
1627091759.832075,2021-07-23 21:55:59.832103,8,9,0.55,0.133,1.6,82.003,82.003,339.400,872.477,48589.714
1627091843.5022614,2021-07-23 21:57:23.502283,9,11,0.53,0.062,1.5,83.669,83.669,327.700,883.156,48589.714
1627091926.4184225,2021-07-23 21:58:46.418445,10,13,0.53,0.109,1.5,82.915,82.915,345.700,908.699,48589.714
1627092009.2823057,2021-07-23 22:00:09.282334,11,15,0.53,0.062,1.5,82.863,82.863,334.900,915.645,48589.714
1627092091.5054305,2021-07-23 22:01:31.505448,12,17,0.52,0.102,1.6,82.222,82.222,349.200,915.605,48589.714
1627092174.6607046,2021-07-23 22:02:54.660734,13,19,0.52,0.109,1.5,83.155,83.155,344.300,928.012,48589.714
1627092260.3264987,2021-07-23 22:04:20.326527,14,21,0.52,0.109,1.5,85.665,85.665,340.900,932.934,48589.714
1627092348.138374,2021-07-23 22:05:48.138403,15,23,0.52,0.094,1.5,87.811,87.811,325.800,943.578,48589.714
1627092430.982136,2021-07-23 22:07:10.982164,16,25,0.52,0.109,1.5,82.843,82.843,333.700,945.969,48589.714
1627092512.6252315,2021-07-23 22:08:32.625261,17,27,0.52,0.125,1.6,81.642,81.642,353.400,958.906,48589.714
1627092594.3538911,2021-07-23 22:09:54.353912,18,29,0.52,0.086,1.6,81.728,81.728,339.100,963.035,48589.714
1627092676.0292804,2021-07-23 22:11:16.029295,19,31,0.52,0.102,1.6,81.675,81.675,390.400,957.895,48589.714
1627092759.4528835,2021-07-23 22:12:39.452904,20,33,0.52,0.148,1.5,83.423,83.423,357.000,964.711,48589.714
1627092841.9570673,2021-07-23 22:14:01.957095,21,35,0.52,0.141,1.6,82.503,82.503,382.800,973.668,48589.714
1627092923.4089155,2021-07-23 22:15:23.408945,22,37,0.52,0.117,1.6,81.451,81.451,382.300,975.668,48589.714
1627093006.8983667,2021-07-23 22:16:46.898399,23,39,0.52,0.086,1.5,83.488,83.488,355.300,985.039,48589.714
1627093092.3611016,2021-07-23 22:18:12.361120,24,41,0.52,0.117,1.5,85.462,85.462,339.400,982.211,48589.714
1627093175.3395061,2021-07-23 22:19:35.339523,25,43,0.52,0.086,1.5,82.978,82.978,339.400,975.273,48589.714
1627093256.2385015,2021-07-23 22:20:56.238525,26,45,0.52,0.117,1.6,80.898,80.898,350.200,981.492,48589.714
1627093338.8622189,2021-07-23 22:22:18.862276,27,47,0.52,0.094,1.5,82.623,82.623,346.400,983.531,48589.714
1627093421.1964772,2021-07-23 22:23:41.196502,28,49,0.52,0.078,1.6,82.333,82.333,361.400,981.598,48589.714
1627093503.522111,2021-07-23 22:25:03.522134,29,51,0.52,0.164,1.6,82.325,82.325,348.400,973.852,48589.714
1627093588.0603373,2021-07-23 22:26:28.060363,30,53,0.52,0.102,1.5,84.537,84.537,369.900,985.461,48589.714
1627093669.631502,2021-07-23 22:27:49.631529,31,55,0.52,0.094,1.6,81.570,81.570,335.600,981.711,48589.714
1627093751.7027748,2021-07-23 22:29:11.702793,32,57,0.52,0.094,1.6,82.070,82.070,359.100,983.375,48589.714
1627093834.746817,2021-07-23 22:30:34.746846,33,59,0.52,0.125,1.5,83.043,83.043,377.800,984.742,48589.714
1627093919.1688778,2021-07-23 22:31:59.168895,34,61,0.52,0.078,1.5,84.421,84.421,354.100,985.883,48589.714
1627094001.0242462,2021-07-23 22:33:21.024278,35,63,0.52,0.133,1.6,81.855,81.855,340.800,983.914,48589.714
1627094084.8918219,2021-07-23 22:34:44.891849,36,65,0.52,0.133,1.5,83.866,83.866,387.700,986.570,48589.714
1627094167.1501951,2021-07-23 22:36:07.150211,37,67,0.52,0.062,1.6,82.257,82.257,336.700,989.629,48589.714
1627094251.7007694,2021-07-23 22:37:31.700799,38,69,0.52,0.086,1.5,84.550,84.550,409.500,992.703,48589.714
1627094331.4367588,2021-07-23 22:38:51.436777,39,71,0.52,0.078,1.6,79.735,79.735,352.000,1000.633,48589.714
1627094415.4978027,2021-07-23 22:40:15.497821,40,73,0.52,0.133,1.5,84.060,84.060,379.900,998.516,48589.714
1627094500.477019,2021-07-23 22:41:40.477054,41,75,0.52,0.102,1.5,84.979,84.979,360.700,1000.051,48589.714
1627094582.9683425,2021-07-23 22:43:02.968364,42,77,0.52,0.117,1.6,82.491,82.491,404.200,996.863,48589.714
1627094667.3389683,2021-07-23 22:44:27.338997,43,79,0.52,0.102,1.5,84.370,84.370,381.800,1000.281,48589.714
1627094750.1363127,2021-07-23 22:45:50.136332,44,81,0.52,0.070,1.5,82.796,82.796,382.200,997.938,48589.714
1627094834.2526693,2021-07-23 22:47:14.252698,45,83,0.52,0.109,1.5,84.115,84.115,413.100,1002.723,48589.714
1627094920.22928,2021-07-23 22:48:40.229309,46,85,0.52,0.078,1.5,85.976,85.976,346.900,1007.184,48589.714
1627095002.176781,2021-07-23 22:50:02.176796,47,87,0.52,0.109,1.6,81.946,81.946,359.000,1014.734,48589.714
1627095087.047879,2021-07-23 22:51:27.047897,48,89,0.52,0.062,1.5,84.870,84.870,347.800,1014.301,48589.714
1627095172.6039388,2021-07-23 22:52:52.603968,49,91,0.52,0.109,1.5,85.555,85.555,357.300,1018.602,48589.714
1627095257.790561,2021-07-23 22:54:17.790591,50,93,0.52,0.062,1.5,85.185,85.185,367.500,1021.312,48589.714
1627095342.0140727,2021-07-23 22:55:42.014095,51,95,0.52,0.070,1.5,84.222,84.222,348.400,1021.172,48589.714
1627095424.6425033,2021-07-23 22:57:04.642529,52,97,0.52,0.094,1.5,82.628,82.628,352.400,1024.355,48589.714
1627095515.752263,2021-07-23 22:58:35.752282,53,99,0.52,0.141,1.4,91.109,91.109,353.100,1017.379,48589.714
1627095598.9165533,2021-07-23 22:59:58.916572,54,101,0.52,0.039,1.5,83.164,83.164,334.100,1019.078,48589.714
1627095684.942566,2021-07-23 23:01:24.942584,55,103,0.52,0.078,1.5,86.025,86.025,375.100,1020.035,48589.714
1627095766.1175976,2021-07-23 23:02:46.117617,56,105,0.52,0.086,1.6,81.174,81.174,336.000,1021.129,48589.714
1627095849.583487,2021-07-23 23:04:09.583502,57,107,0.52,0.078,1.5,83.465,83.465,385.400,1022.070,48589.714
1627095934.1868706,2021-07-23 23:05:34.186893,58,109,0.52,0.109,1.5,84.603,84.603,381.500,1023.977,48589.714
1627096017.4333506,2021-07-23 23:06:57.433380,59,111,0.52,0.117,1.5,83.245,83.245,367.000,1025.238,48589.714
1627096099.9737575,2021-07-23 23:08:19.973772,60,113,0.52,0.133,1.6,82.539,82.539,341.200,1027.770,48589.714
1627096184.3220372,2021-07-23 23:09:44.322081,61,115,0.52,0.086,1.5,84.348,84.348,365.500,1025.719,48589.714
1627096266.1011689,2021-07-23 23:11:06.101189,62,117,0.52,0.094,1.6,81.777,81.777,370.800,1020.488,48589.714
1627096346.38046,2021-07-23 23:12:26.380482,63,119,0.52,0.141,1.6,80.279,80.279,404.200,1021.164,48589.714
1627096431.3572497,2021-07-23 23:13:51.357279,64,121,0.52,0.102,1.5,84.976,84.976,378.800,1026.023,48589.714
1627096514.9043887,2021-07-23 23:15:14.904407,65,123,0.52,0.156,1.5,83.546,83.546,324.800,1027.215,48589.714
1627096603.1775708,2021-07-23 23:16:43.177599,66,125,0.52,0.078,1.5,88.273,88.273,339.200,1036.672,48589.714
1627096686.84147,2021-07-23 23:18:06.841486,67,127,0.52,0.062,1.5,83.663,83.663,358.000,1031.887,48589.714
1627096773.8283932,2021-07-23 23:19:33.828421,68,129,0.52,0.078,1.5,86.986,86.986,356.300,1037.094,48589.714
1627096857.4320354,2021-07-23 23:20:57.432137,69,131,0.52,0.117,1.5,83.602,83.602,353.100,1031.004,48589.714
