time,datetime,step,global_step,loss,examples_sec,sec_batch,duration,cpu,mem,net_usage
1625594167.567124,2021-07-06 13:56:07.567128,0,0,2.64,49.1,2.606,2.606,0.000,973.469,1342.108
1625594169.612411,2021-07-06 13:56:09.612416,1,0,2.64,62.6,2.045,2.045,914.800,1012.051,1342.108
1625594171.6635277,2021-07-06 13:56:11.663532,2,1,2.56,62.4,2.051,2.051,921.900,1055.820,1342.108
1625594173.7136357,2021-07-06 13:56:13.713639,3,1,2.61,62.4,2.050,2.050,913.600,1108.844,1342.108
1625594175.7343369,2021-07-06 13:56:15.734341,4,1,2.62,63.3,2.021,2.021,920.500,1163.121,1342.108
1625594177.8289404,2021-07-06 13:56:17.828945,5,1,2.59,61.1,2.094,2.094,920.000,1178.312,1342.108
1625594179.899423,2021-07-06 13:56:19.899427,6,1,2.57,61.8,2.070,2.070,914.300,1227.262,1342.108
1625594182.022065,2021-07-06 13:56:22.022070,7,2,2.57,60.3,2.122,2.122,875.800,1262.570,1342.108
1625594184.2703662,2021-07-06 13:56:24.270371,8,3,2.56,56.9,2.248,2.248,834.800,1303.195,1342.108
1625594186.4193594,2021-07-06 13:56:26.419363,9,4,2.53,59.6,2.149,2.149,866.400,1311.605,1342.108
1625594188.6376898,2021-07-06 13:56:28.637694,10,5,2.53,57.7,2.218,2.218,841.200,1314.645,1342.108
1625594190.8167992,2021-07-06 13:56:30.816803,11,6,2.46,58.7,2.179,2.179,839.800,1313.750,1342.108
1625594192.989644,2021-07-06 13:56:32.989649,12,7,2.47,58.9,2.173,2.173,862.000,1316.152,1342.108
1625594195.1816468,2021-07-06 13:56:35.181651,13,8,2.50,58.4,2.192,2.192,850.300,1313.996,1342.108
1625594197.4101279,2021-07-06 13:56:37.410132,14,9,2.45,57.4,2.228,2.228,848.600,1312.230,1342.108
1625594199.6309671,2021-07-06 13:56:39.630971,15,10,2.43,57.6,2.221,2.221,850.600,1327.609,1342.108
1625594201.8168762,2021-07-06 13:56:41.816881,16,11,2.40,58.6,2.186,2.186,862.800,1337.129,1342.108
1625594204.0470517,2021-07-06 13:56:44.047056,17,12,2.41,57.4,2.230,2.230,846.100,1339.762,1342.108
