time,datetime,step,global_step,loss,examples_sec,sec_batch,duration,cpu,mem,net_usage
1625584717.4847736,2021-07-06 11:18:37.484780,0,0,0.89,3.9,32.943,32.943,0.000,525.770,62.958
1625584742.2597744,2021-07-06 11:19:02.259780,1,0,0.82,5.2,24.775,24.775,334.500,558.445,62.959
1625584766.7387412,2021-07-06 11:19:26.738748,2,1,0.82,5.2,24.479,24.479,340.900,588.270,62.959
1625584791.499507,2021-07-06 11:19:51.499514,3,1,0.82,5.2,24.760,24.760,340.300,623.508,62.959
1625584816.3937814,2021-07-06 11:20:16.393788,4,1,0.82,5.1,24.894,24.894,342.600,632.246,62.959
1625584840.9720433,2021-07-06 11:20:40.972050,5,1,0.82,5.2,24.578,24.578,324.600,664.551,62.959
1625584874.970015,2021-07-06 11:21:14.970022,6,1,0.82,3.8,33.998,33.998,246.800,682.836,62.959
1625584907.6430955,2021-07-06 11:21:47.643103,7,2,0.77,3.9,32.673,32.673,247.700,678.414,62.959
1625584944.396627,2021-07-06 11:22:24.396635,8,3,0.73,3.5,36.753,36.753,225.500,678.297,62.959
1625584978.4598873,2021-07-06 11:22:58.459894,9,4,0.69,3.8,34.063,34.063,251.300,687.938,62.959
1625585013.7314322,2021-07-06 11:23:33.731439,10,5,0.66,3.6,35.271,35.271,233.200,685.688,62.959
1625585048.017574,2021-07-06 11:24:08.017582,11,6,0.64,3.7,34.286,34.286,241.600,686.953,62.959
1625585083.8272665,2021-07-06 11:24:43.827274,12,7,0.62,3.6,35.809,35.809,238.300,689.238,62.959
1625585117.4172652,2021-07-06 11:25:17.417272,13,8,0.60,3.8,33.590,33.590,252.000,693.816,62.959
1625585152.0895998,2021-07-06 11:25:52.089618,14,9,0.59,3.7,34.672,34.672,249.800,702.578,62.959
1625585187.3654895,2021-07-06 11:26:27.365496,15,10,0.58,3.6,35.276,35.276,236.600,692.961,62.959
1625585222.4742756,2021-07-06 11:27:02.474283,16,11,0.57,3.6,35.108,35.108,236.700,704.230,62.959
1625585256.8083522,2021-07-06 11:27:36.808359,17,12,0.56,3.7,34.334,34.334,240.700,704.438,62.959
1625585291.445909,2021-07-06 11:28:11.445916,18,13,0.55,3.7,34.637,34.637,254.400,700.422,62.959
1625585327.3472672,2021-07-06 11:28:47.347273,19,14,0.55,3.6,35.901,35.901,228.700,702.828,62.959
1625585361.3515372,2021-07-06 11:29:21.351544,20,15,0.54,3.8,34.004,34.004,246.200,697.059,62.959
1625585395.552267,2021-07-06 11:29:55.552275,21,16,0.54,3.7,34.200,34.200,250.300,705.773,62.959
1625585428.7540894,2021-07-06 11:30:28.754097,22,17,0.54,3.9,33.202,33.202,257.200,710.949,62.959
1625585464.401782,2021-07-06 11:31:04.401788,23,18,0.53,3.6,35.647,35.647,225.900,711.512,62.959
1625585498.1343458,2021-07-06 11:31:38.134353,24,19,0.53,3.8,33.732,33.732,239.000,707.258,62.959
1625585532.3817964,2021-07-06 11:32:12.381803,25,20,0.53,3.7,34.247,34.247,230.600,699.891,62.959
1625585566.7363634,2021-07-06 11:32:46.736370,26,21,0.53,3.7,34.354,34.354,256.800,701.090,62.959
1625585600.4200592,2021-07-06 11:33:20.420066,27,22,0.53,3.8,33.683,33.683,253.300,699.324,63.059
1625585634.3225536,2021-07-06 11:33:54.322557,28,23,0.53,3.8,33.902,33.902,247.800,710.594,63.059
1625585667.7529628,2021-07-06 11:34:27.752969,29,24,0.53,3.8,33.430,33.430,250.800,712.328,63.059
