time,datetime,step,global_step,loss,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627236064.2809482,2021-07-25 14:01:04.280956,0,0,1.58,1.0,123.153,123.153,0.000,582.383,70.257
1627236169.0005152,2021-07-25 14:02:49.000521,1,0,1.58,1.2,104.718,104.718,292.800,639.898,70.257
1627236265.392944,2021-07-25 14:04:25.392949,2,1,1.58,1.3,96.392,96.392,312.600,668.164,70.257
1627236355.2266603,2021-07-25 14:05:55.226666,3,1,1.58,1.4,89.833,89.833,332.000,701.910,70.257
1627236445.2008693,2021-07-25 14:07:25.200873,4,1,1.58,1.4,89.974,89.974,333.600,730.051,70.257
1627236532.8465414,2021-07-25 14:08:52.846546,5,1,1.58,1.5,87.646,87.646,343.600,748.211,70.257
1627236614.5789185,2021-07-25 14:10:14.578926,6,1,1.58,1.6,81.732,81.732,366.000,774.086,70.257
1627236689.694424,2021-07-25 14:11:29.694427,7,1,1.58,1.7,75.115,75.115,393.400,978.238,70.257
1627236763.8334365,2021-07-25 14:12:43.833441,8,1,1.58,1.7,74.139,74.139,397.600,808.039,70.257
1627236838.0130868,2021-07-25 14:13:58.013093,9,1,1.58,1.7,74.179,74.179,396.100,840.695,70.257
1627236960.0455828,2021-07-25 14:16:00.045590,10,2,1.57,1.0,122.032,122.032,250.000,854.398,70.257
1627237084.7711563,2021-07-25 14:18:04.771161,11,3,1.57,1.0,124.725,124.725,244.200,853.828,70.257
1627237207.4387274,2021-07-25 14:20:07.438734,12,4,1.56,1.0,122.667,122.667,249.200,874.266,70.257
1627237339.523426,2021-07-25 14:22:19.523431,13,5,1.56,1.0,132.084,132.084,231.800,879.742,70.257
1627237462.1467986,2021-07-25 14:24:22.146802,14,6,1.56,1.0,122.623,122.623,250.200,881.590,70.257
1627237584.8722506,2021-07-25 14:26:24.872257,15,7,1.55,1.0,122.725,122.725,245.300,883.707,70.257
1627237713.4143567,2021-07-25 14:28:33.414362,16,8,1.55,1.0,128.542,128.542,238.100,885.797,70.257
1627237838.9442682,2021-07-25 14:30:38.944273,17,9,1.54,1.0,125.530,125.530,245.100,881.820,70.257
1627237967.238649,2021-07-25 14:32:47.238654,18,10,1.54,1.0,128.294,128.294,238.500,891.441,70.257
