time,datetime,step,global_step,loss,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627236057.2814999,2021-07-25 14:00:57.281509,0,0,1.58,1.1,116.749,116.749,0.000,562.961,5060286.112
1627236136.763714,2021-07-25 14:02:16.763721,1,0,1.58,1.6,79.482,79.482,359.400,641.570,5060286.112
1627236212.6089602,2021-07-25 14:03:32.608969,2,1,1.58,1.7,75.845,75.845,372.400,708.734,5060286.112
1627236295.9866853,2021-07-25 14:04:55.986693,3,1,1.58,1.5,83.377,83.377,342.800,882.742,5060286.112
1627236375.4625869,2021-07-25 14:06:15.462594,4,1,1.58,1.6,79.476,79.476,359.900,777.445,5060286.112
1627236455.9472644,2021-07-25 14:07:35.947270,5,1,1.58,1.6,80.484,80.484,354.000,814.375,5060286.112
1627236542.6801524,2021-07-25 14:09:02.680161,6,1,1.58,1.5,86.733,86.733,326.700,834.887,5060286.112
1627236623.619755,2021-07-25 14:10:23.619762,7,1,1.58,1.6,80.939,80.939,351.600,853.332,5060286.112
1627236705.6278334,2021-07-25 14:11:45.627839,8,1,1.58,1.6,82.008,82.008,347.300,862.652,5060286.112
1627236837.9869976,2021-07-25 14:13:57.987004,9,1,1.58,1.0,132.359,132.359,219.300,862.441,5060286.112
1627236960.0461323,2021-07-25 14:16:00.046140,10,2,1.57,1.0,122.059,122.059,238.300,864.004,5060286.112
1627237084.7712767,2021-07-25 14:18:04.771286,11,3,1.57,1.0,124.725,124.725,233.000,885.250,5060286.112
1627237207.440602,2021-07-25 14:20:07.440610,12,4,1.56,1.0,122.669,122.669,239.700,884.672,5060286.112
1627237339.5223286,2021-07-25 14:22:19.522337,13,5,1.56,1.0,132.081,132.081,222.300,881.602,5060286.112
1627237462.1550705,2021-07-25 14:24:22.155078,14,6,1.56,1.0,122.632,122.632,241.400,889.461,5060286.112
1627237584.8740203,2021-07-25 14:26:24.874028,15,7,1.55,1.0,122.719,122.719,242.800,885.348,5060286.112
1627237713.4163206,2021-07-25 14:28:33.416329,16,8,1.55,1.0,128.542,128.542,224.800,889.453,5060286.112
1627237838.9454627,2021-07-25 14:30:38.945470,17,9,1.54,1.0,125.529,125.529,233.300,896.207,5060286.112
1627237967.2400773,2021-07-25 14:32:47.240085,18,10,1.54,1.0,128.294,128.294,231.000,910.992,5060286.112
1627238093.6728342,2021-07-25 14:34:53.672843,19,11,1.53,1.0,126.432,126.432,234.500,917.340,5060286.112
1627238215.3895662,2021-07-25 14:36:55.389574,20,12,1.53,1.1,121.716,121.716,237.800,915.957,5060286.112
1627238339.420021,2021-07-25 14:38:59.420027,21,13,1.52,1.0,124.030,124.030,240.000,927.805,5060286.112
1627238471.3959002,2021-07-25 14:41:11.395908,22,14,1.52,1.0,131.976,131.976,223.400,922.891,5060286.112
1627238598.7799628,2021-07-25 14:43:18.779970,23,15,1.52,1.0,127.384,127.384,230.700,926.996,5060286.112
1627238724.2293446,2021-07-25 14:45:24.229351,24,16,1.51,1.0,125.449,125.449,236.600,931.184,5060286.112
1627238853.625125,2021-07-25 14:47:33.625132,25,17,1.51,1.0,129.396,129.396,229.200,927.262,5060286.112
1627238979.8669004,2021-07-25 14:49:39.866908,26,18,1.50,1.0,126.241,126.241,233.200,927.984,5060286.112
1627239105.316147,2021-07-25 14:51:45.316154,27,19,1.50,1.0,125.449,125.449,236.300,927.906,5060286.112
1627239231.3958828,2021-07-25 14:53:51.395890,28,20,1.49,1.0,126.079,126.079,234.300,923.930,5060286.112
1627239360.2029243,2021-07-25 14:56:00.202930,29,21,1.49,1.0,128.807,128.807,230.500,924.648,5060286.112
1627239484.9720633,2021-07-25 14:58:04.972069,30,22,1.49,1.0,124.769,124.769,237.500,931.418,5060286.112
1627239613.8756478,2021-07-25 15:00:13.875665,31,23,1.48,1.0,128.903,128.903,226.500,930.090,5060286.112
1627239741.1851072,2021-07-25 15:02:21.185114,32,24,1.48,1.0,127.309,127.309,232.900,931.926,5060286.112
1627239863.9907036,2021-07-25 15:04:23.990710,33,25,1.47,1.0,122.805,122.805,240.400,933.848,5060286.112
1627239991.761237,2021-07-25 15:06:31.761244,34,26,1.47,1.0,127.770,127.770,231.800,929.762,5060286.112
1627240118.5088775,2021-07-25 15:08:38.508886,35,27,1.46,1.0,126.747,126.747,232.000,932.008,5060286.112
1627240247.3184335,2021-07-25 15:10:47.318441,36,28,1.46,1.0,128.809,128.809,231.100,929.910,5060286.112
1627240371.3692687,2021-07-25 15:12:51.369277,37,29,1.45,1.0,124.051,124.051,237.900,930.637,5060286.112
1627240493.9203453,2021-07-25 15:14:53.920353,38,30,1.45,1.0,122.551,122.551,240.100,933.152,5060286.112
1627240618.685522,2021-07-25 15:16:58.685530,39,31,1.45,1.0,124.765,124.765,238.000,936.223,5060286.112
1627240744.628356,2021-07-25 15:19:04.628365,40,32,1.44,1.0,125.943,125.943,232.300,941.562,5060286.112
