time,datetime,step,global_step,loss,accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627091142.836417,2021-07-23 21:45:42.836425,0,0,0.89,0.117,1.9,69.109,69.109,0.000,500.078,443.520
1627091197.3809023,2021-07-23 21:46:37.380908,1,1,0.79,0.117,2.3,54.544,54.544,327.300,568.559,443.607
1627091258.1675065,2021-07-23 21:47:38.167514,2,1,0.79,0.156,2.1,60.786,60.786,302.900,619.793,443.676
1627091311.4633098,2021-07-23 21:48:31.463318,3,1,0.79,0.109,2.4,53.295,53.295,325.500,643.160,443.753
1627091386.866205,2021-07-23 21:49:46.866212,4,1,0.79,0.055,1.7,75.403,75.403,352.600,655.305,443.820
1627091470.1185827,2021-07-23 21:51:10.118591,5,2,0.72,0.102,1.5,83.252,83.252,200.400,660.359,443.915
1627091552.19123,2021-07-23 21:52:32.191238,6,4,0.63,0.055,1.6,82.072,82.072,221.600,663.137,444.021
1627091635.7073576,2021-07-23 21:53:55.707366,7,6,0.58,0.102,1.5,83.516,83.516,227.500,673.555,444.126
1627091719.0523188,2021-07-23 21:55:19.052327,8,8,0.55,0.109,1.5,83.345,83.345,223.900,682.562,444.232
1627091800.9545958,2021-07-23 21:56:40.954603,9,10,0.54,0.133,1.6,81.902,81.902,226.900,692.504,444.338
1627091885.1392493,2021-07-23 21:58:05.139257,10,12,0.53,0.047,1.5,84.184,84.184,220.800,688.543,444.441
1627091967.2423575,2021-07-23 21:59:27.242365,11,14,0.53,0.078,1.6,82.103,82.103,224.100,686.598,444.549
1627092050.4830978,2021-07-23 22:00:50.483106,12,16,0.53,0.078,1.5,83.240,83.240,225.900,687.523,444.654
1627092133.906826,2021-07-23 22:02:13.906834,13,18,0.52,0.062,1.5,83.423,83.423,226.000,689.531,444.760
1627092216.0492523,2021-07-23 22:03:36.049261,14,20,0.52,0.070,1.6,82.142,82.142,224.600,686.129,444.865
1627092306.4018009,2021-07-23 22:05:06.401809,15,22,0.52,0.094,1.4,90.352,90.352,217.400,691.977,444.967
1627092389.2475111,2021-07-23 22:06:29.247516,16,24,0.52,0.117,1.5,82.845,82.845,216.100,693.074,445.082
1627092471.5432196,2021-07-23 22:07:51.543227,17,26,0.52,0.133,1.6,82.296,82.296,224.000,701.211,445.186
1627092552.5799072,2021-07-23 22:09:12.579941,18,28,0.52,0.070,1.6,81.036,81.036,225.000,697.645,445.290
1627092634.4369686,2021-07-23 22:10:34.436976,19,30,0.52,0.102,1.6,81.857,81.857,224.800,707.398,445.393
1627092718.0596557,2021-07-23 22:11:58.059663,20,32,0.52,0.055,1.5,83.622,83.622,227.400,705.305,445.496
1627092801.000715,2021-07-23 22:13:21.000723,21,34,0.52,0.141,1.5,82.941,82.941,223.100,704.383,445.603
