time,datetime,step,global_step,loss,accuracy,val_accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627085708.0139236,2021-07-23 20:15:08.013932,0,0,2.85,0.086,0.219,9.0,14.169,14.169,0.000,1541.473,92.903
1627085713.1134799,2021-07-23 20:15:13.113484,1,1,2.70,0.089,0.188,25.1,5.099,5.099,1031.900,1700.105,92.903
1627085718.2063613,2021-07-23 20:15:18.206367,2,1,2.82,0.099,0.094,25.1,5.093,5.093,1035.600,1763.297,92.903
1627085723.3483422,2021-07-23 20:15:23.348346,3,1,2.76,0.100,0.156,24.9,5.142,5.142,1029.300,1803.047,92.903
1627085728.4345157,2021-07-23 20:15:28.434520,4,1,2.86,0.108,0.156,25.2,5.086,5.086,1044.800,1816.000,92.903
1627085737.3141222,2021-07-23 20:15:37.314129,5,2,2.75,0.106,0.156,14.4,8.879,8.879,599.200,1829.770,92.903
1627085744.5322793,2021-07-23 20:15:44.532284,6,4,2.73,0.113,0.094,17.7,7.218,7.218,738.100,1849.953,92.903
1627085751.557203,2021-07-23 20:15:51.557208,7,6,2.64,0.122,0.125,18.2,7.025,7.025,761.900,1854.242,92.903
1627085758.9987054,2021-07-23 20:15:58.998709,8,8,2.63,0.135,0.094,17.2,7.441,7.441,712.800,1879.074,92.903
1627085766.2267032,2021-07-23 20:16:06.226708,9,10,2.56,0.141,0.188,17.7,7.228,7.228,724.300,1877.973,92.903
1627085773.4335501,2021-07-23 20:16:13.433557,10,12,2.53,0.154,0.125,17.8,7.207,7.207,731.500,1885.891,92.903
1627085781.0149283,2021-07-23 20:16:21.014933,11,14,2.46,0.164,0.188,16.9,7.581,7.581,702.800,1892.355,92.903
1627085788.22867,2021-07-23 20:16:28.228674,12,16,2.45,0.173,0.125,17.7,7.214,7.214,726.500,1896.223,92.903
1627085796.519426,2021-07-23 20:16:36.519430,13,18,2.46,0.178,0.062,15.4,8.291,8.291,632.900,1894.129,92.903
1627085803.646749,2021-07-23 20:16:43.646753,14,20,2.34,0.187,0.031,18.0,7.127,7.127,741.200,1904.520,92.903
1627085810.8267362,2021-07-23 20:16:50.826740,15,22,2.43,0.193,0.094,17.8,7.180,7.180,743.200,1904.621,92.903
1627085817.9500656,2021-07-23 20:16:57.950070,16,24,2.46,0.199,0.031,18.0,7.123,7.123,741.600,1905.758,92.903
1627085824.748854,2021-07-23 20:17:04.748858,17,26,2.27,0.200,0.188,18.8,6.799,6.799,775.700,1908.742,92.903
1627085832.8735337,2021-07-23 20:17:12.873538,18,28,2.39,0.204,0.188,15.8,8.125,8.125,649.900,1906.758,92.903
1627085840.5640166,2021-07-23 20:17:20.564021,19,30,2.38,0.207,0.094,16.6,7.690,7.690,688.500,1911.676,92.903
1627085848.621565,2021-07-23 20:17:28.621569,20,32,2.37,0.211,0.125,15.9,8.057,8.057,650.000,1914.910,92.903
1627085856.7574167,2021-07-23 20:17:36.757421,21,34,2.39,0.216,0.062,15.7,8.136,8.136,649.100,1915.648,92.903
1627085863.9492362,2021-07-23 20:17:43.949240,22,36,2.38,0.219,0.156,17.8,7.192,7.192,742.400,1927.293,92.903
1627085870.9607885,2021-07-23 20:17:50.960793,23,38,2.31,0.223,0.125,18.3,7.011,7.011,758.800,1927.426,92.903
1627085878.077384,2021-07-23 20:17:58.077388,24,40,2.30,0.226,0.125,18.0,7.116,7.116,732.500,1923.523,92.903
1627085886.2904644,2021-07-23 20:18:06.290469,25,42,2.29,0.230,0.125,15.6,8.213,8.213,651.500,1923.750,92.903
1627085894.3094509,2021-07-23 20:18:14.309455,26,44,2.32,0.234,0.062,16.0,8.019,8.019,666.200,1927.746,92.903
1627085902.6607242,2021-07-23 20:18:22.660728,27,46,2.37,0.238,0.156,15.3,8.351,8.351,628.300,1936.859,92.903
