time,datetime,step,global_step,loss,accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627091148.1799097,2021-07-23 21:45:48.179920,0,0,0.89,0.078,1.7,75.103,75.103,0.000,504.074,4297617.748
1627091209.5282335,2021-07-23 21:46:49.528242,1,1,0.79,0.094,2.1,61.348,61.348,274.000,550.012,4297617.748
1627091268.6327884,2021-07-23 21:47:48.632800,2,1,0.79,0.062,2.2,59.104,59.104,275.400,600.203,4297617.748
1627091324.3627086,2021-07-23 21:48:44.362719,3,1,0.79,0.094,2.3,55.730,55.730,303.600,628.020,4297617.748
1627091386.8659549,2021-07-23 21:49:46.865963,4,1,0.79,0.078,2.0,62.503,62.503,308.400,645.535,4297617.748
1627091470.1181993,2021-07-23 21:51:10.118208,5,2,0.72,0.070,1.5,83.252,83.252,234.800,660.199,4297617.748
1627091552.191144,2021-07-23 21:52:32.191149,6,4,0.63,0.086,1.6,82.073,82.073,211.200,668.965,4297617.748
1627091635.707319,2021-07-23 21:53:55.707328,7,6,0.58,0.070,1.5,83.516,83.516,214.600,686.230,4297617.748
1627091719.052097,2021-07-23 21:55:19.052106,8,8,0.55,0.055,1.5,83.344,83.344,210.300,694.676,4297617.748
1627091800.95438,2021-07-23 21:56:40.954389,9,10,0.54,0.094,1.6,81.902,81.902,215.100,695.031,4297617.748
1627091885.139034,2021-07-23 21:58:05.139043,10,12,0.53,0.078,1.5,84.184,84.184,212.500,694.145,4297617.748
1627091967.2423337,2021-07-23 21:59:27.242343,11,14,0.53,0.109,1.6,82.103,82.103,214.300,691.516,4297617.748
1627092050.482908,2021-07-23 22:00:50.482917,12,16,0.53,0.125,1.5,83.240,83.240,212.500,693.848,4297617.748
1627092133.9065933,2021-07-23 22:02:13.906602,13,18,0.52,0.133,1.5,83.423,83.423,212.800,699.816,4297617.748
1627092216.0489182,2021-07-23 22:03:36.048927,14,20,0.52,0.078,1.6,82.142,82.142,214.100,696.715,4297617.748
1627092306.401643,2021-07-23 22:05:06.401651,15,22,0.52,0.078,1.4,90.352,90.352,208.200,692.781,4297617.748
1627092389.2474189,2021-07-23 22:06:29.247425,16,24,0.52,0.109,1.5,82.845,82.845,202.900,698.344,4297617.748
1627092471.5428455,2021-07-23 22:07:51.542854,17,26,0.52,0.086,1.6,82.295,82.295,215.400,706.930,4297617.748
1627092552.5796294,2021-07-23 22:09:12.579638,18,28,0.52,0.086,1.6,81.036,81.036,218.000,706.305,4297617.748
1627092634.4367585,2021-07-23 22:10:34.436767,19,30,0.52,0.117,1.6,81.857,81.857,219.100,703.020,4297617.748
1627092718.0592868,2021-07-23 22:11:58.059296,20,32,0.52,0.062,1.5,83.622,83.622,216.400,705.363,4297617.748
1627092801.0005682,2021-07-23 22:13:21.000576,21,34,0.52,0.117,1.5,82.941,82.941,213.400,700.027,4297617.748
1627092883.3180501,2021-07-23 22:14:43.318059,22,36,0.52,0.133,1.6,82.317,82.317,216.300,702.574,4297617.748
1627092964.4665904,2021-07-23 22:16:04.466599,23,38,0.52,0.094,1.6,81.148,81.148,219.400,702.266,4297617.748
1627093049.4108143,2021-07-23 22:17:29.410824,24,40,0.52,0.109,1.5,84.944,84.944,208.800,703.371,4297617.748
1627093134.8016052,2021-07-23 22:18:54.801616,25,42,0.52,0.109,1.5,85.390,85.390,207.500,699.465,4297617.748
1627093215.7377305,2021-07-23 22:20:15.737739,26,44,0.52,0.125,1.6,80.936,80.936,213.500,698.324,4297617.748
