time,datetime,step,global_step,loss,accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627091147.3989103,2021-07-23 21:45:47.398919,0,0,0.89,0.125,1.7,73.486,73.486,0.000,493.078,92.905
1627091208.8485284,2021-07-23 21:46:48.848538,1,1,0.79,0.109,2.1,61.449,61.449,274.500,555.195,92.905
1627091267.3912332,2021-07-23 21:47:47.391243,2,1,0.79,0.078,2.2,58.542,58.542,292.000,601.840,92.905
1627091321.7796986,2021-07-23 21:48:41.779708,3,1,0.79,0.164,2.4,54.388,54.388,310.300,636.094,92.905
1627091386.8665051,2021-07-23 21:49:46.866515,4,1,0.79,0.156,2.0,65.086,65.086,313.500,642.211,92.905
1627091470.1186924,2021-07-23 21:51:10.118700,5,2,0.72,0.102,1.5,83.252,83.252,233.500,655.984,92.905
1627091552.1916788,2021-07-23 21:52:32.191687,6,4,0.63,0.094,1.6,82.073,82.073,215.300,669.602,92.905
1627091635.713237,2021-07-23 21:53:55.713246,7,6,0.58,0.125,1.5,83.521,83.521,219.100,671.910,92.905
1627091719.0528023,2021-07-23 21:55:19.052812,8,8,0.55,0.125,1.5,83.339,83.339,214.700,669.859,92.905
1627091800.9550123,2021-07-23 21:56:40.955022,9,10,0.54,0.109,1.6,81.902,81.902,218.000,670.770,92.905
1627091885.1396506,2021-07-23 21:58:05.139660,10,12,0.53,0.117,1.5,84.184,84.184,215.200,670.605,92.905
1627091967.2425237,2021-07-23 21:59:27.242532,11,14,0.53,0.125,1.6,82.103,82.103,217.200,675.832,92.905
1627092050.4833696,2021-07-23 22:00:50.483379,12,16,0.53,0.102,1.5,83.241,83.241,217.400,686.551,92.905
1627092133.9071229,2021-07-23 22:02:13.907132,13,18,0.52,0.094,1.5,83.423,83.423,218.400,689.918,92.905
1627092216.0496755,2021-07-23 22:03:36.049684,14,20,0.52,0.094,1.6,82.142,82.142,216.000,690.430,92.905
1627092306.4019873,2021-07-23 22:05:06.401998,15,22,0.52,0.094,1.4,90.352,90.352,212.100,695.887,92.905
1627092389.2478466,2021-07-23 22:06:29.247856,16,24,0.52,0.070,1.5,82.846,82.846,206.000,696.008,92.905
1627092471.5433323,2021-07-23 22:07:51.543341,17,26,0.52,0.109,1.6,82.295,82.295,217.300,696.758,92.905
1627092552.5801902,2021-07-23 22:09:12.580199,18,28,0.52,0.047,1.6,81.037,81.037,216.900,702.254,92.905
1627092634.437237,2021-07-23 22:10:34.437246,19,30,0.52,0.133,1.6,81.857,81.857,219.600,700.465,92.905
1627092718.0598042,2021-07-23 22:11:58.059813,20,32,0.52,0.133,1.5,83.622,83.622,219.000,699.504,92.905
1627092801.001029,2021-07-23 22:13:21.001061,21,34,0.52,0.078,1.5,82.941,82.941,218.100,703.012,92.905
1627092883.3186736,2021-07-23 22:14:43.318682,22,36,0.52,0.047,1.6,82.317,82.317,218.900,700.453,92.905
1627092964.467212,2021-07-23 22:16:04.467220,23,38,0.52,0.109,1.6,81.148,81.148,220.800,701.371,92.905
1627093049.4110637,2021-07-23 22:17:29.411068,24,40,0.52,0.102,1.5,84.944,84.944,213.500,699.355,92.905
1627093134.8020804,2021-07-23 22:18:54.802090,25,42,0.52,0.125,1.5,85.391,85.391,210.300,696.855,92.905
1627093215.7382507,2021-07-23 22:20:15.738260,26,44,0.52,0.086,1.6,80.936,80.936,218.400,698.926,92.905
1627093298.3664691,2021-07-23 22:21:38.366477,27,46,0.52,0.086,1.5,82.628,82.628,222.800,700.680,92.905
1627093380.4575458,2021-07-23 22:23:00.457555,28,48,0.52,0.094,1.6,82.091,82.091,220.200,704.129,92.905
1627093462.035411,2021-07-23 22:24:22.035420,29,50,0.52,0.141,1.6,81.578,81.578,223.900,699.043,92.905
1627093546.9504292,2021-07-23 22:25:46.950438,30,52,0.52,0.109,1.5,84.915,84.915,226.400,702.688,92.905
1627093629.1922605,2021-07-23 22:27:09.192269,31,54,0.52,0.133,1.6,82.242,82.242,216.800,701.277,92.905
1627093711.265979,2021-07-23 22:28:31.265988,32,56,0.52,0.062,1.6,82.073,82.073,227.200,701.867,92.905
1627093792.814902,2021-07-23 22:29:52.814911,33,58,0.52,0.172,1.6,81.549,81.549,225.900,703.355,92.905
1627093876.9308085,2021-07-23 22:31:16.930815,34,60,0.52,0.125,1.5,84.116,84.116,219.200,708.371,92.905
1627093958.6487334,2021-07-23 22:32:38.648742,35,62,0.52,0.086,1.6,81.718,81.718,217.800,706.719,92.905
1627094043.8193023,2021-07-23 22:34:03.819312,36,64,0.52,0.102,1.5,85.170,85.170,220.900,707.195,92.905
1627094125.7488625,2021-07-23 22:35:25.748867,37,66,0.52,0.109,1.6,81.929,81.929,217.100,708.480,92.905
1627094209.195259,2021-07-23 22:36:49.195269,38,68,0.52,0.070,1.5,83.446,83.446,225.100,707.793,92.905
1627094292.7247314,2021-07-23 22:38:12.724740,39,70,0.52,0.062,1.5,83.529,83.529,217.600,706.738,92.905
1627094372.2346663,2021-07-23 22:39:32.234676,40,72,0.52,0.078,1.6,79.510,79.510,229.000,707.098,92.905
1627094458.9178908,2021-07-23 22:40:58.917900,41,74,0.52,0.086,1.5,86.683,86.683,216.800,711.543,92.905
1627094541.5389779,2021-07-23 22:42:21.538987,42,76,0.52,0.102,1.5,82.621,82.621,217.400,705.797,92.905
1627094625.2184038,2021-07-23 22:43:45.218409,43,78,0.52,0.133,1.5,83.679,83.679,221.700,702.930,92.905
1627094707.5265963,2021-07-23 22:45:07.526605,44,80,0.52,0.133,1.6,82.308,82.308,215.900,715.059,92.905
1627094791.6597378,2021-07-23 22:46:31.659747,45,82,0.52,0.094,1.5,84.133,84.133,218.900,710.848,92.905
1627094877.4667816,2021-07-23 22:47:57.466792,46,84,0.52,0.102,1.5,85.807,85.807,217.100,709.176,92.905
1627094961.50999,2021-07-23 22:49:21.509999,47,86,0.52,0.094,1.5,84.043,84.043,208.400,709.426,92.905
1627095045.725139,2021-07-23 22:50:45.725144,48,88,0.52,0.133,1.5,84.215,84.215,221.400,708.371,92.905
1627095130.8020175,2021-07-23 22:52:10.802027,49,90,0.52,0.102,1.5,85.077,85.077,217.500,715.109,92.905
1627095215.519372,2021-07-23 22:53:35.519381,50,92,0.52,0.102,1.5,84.717,84.717,211.500,708.707,92.905
1627095300.7179408,2021-07-23 22:55:00.717950,51,94,0.52,0.078,1.5,85.198,85.198,212.600,706.484,92.905
1627095383.342959,2021-07-23 22:56:23.342968,52,96,0.52,0.109,1.5,82.625,82.625,215.800,702.160,92.905
