time,datetime,step,global_step,loss,accuracy,val_accuracy,examples_sec,sec_batch,duration,cpu,mem,net_usage
1627194664.1213276,2021-07-25 02:31:04.121333,0,0,2.79,0.062,0.000,23.2,5.506,5.506,0.000,975.102,93.940
1627194667.8079987,2021-07-25 02:31:07.808002,1,7,2.70,0.094,0.000,34.7,3.687,3.687,1022.900,1054.258,93.940
1627194671.4134977,2021-07-25 02:31:11.413501,2,14,2.62,0.109,0.000,35.5,3.605,3.605,1038.400,1144.020,93.940
1627194674.9669895,2021-07-25 02:31:14.966994,3,22,2.52,0.102,0.000,36.0,3.553,3.553,1030.500,1214.516,93.940
1627194678.432007,2021-07-25 02:31:18.432010,4,29,2.48,0.164,0.000,36.9,3.465,3.465,1041.000,1268.133,93.940
1627194682.031919,2021-07-25 02:31:22.031923,5,36,2.52,0.125,0.000,35.6,3.600,3.600,1036.400,1292.863,93.940
1627194685.511561,2021-07-25 02:31:25.511565,6,43,2.43,0.211,0.000,36.8,3.479,3.479,1040.000,1295.910,93.940
1627194689.0160735,2021-07-25 02:31:29.016077,7,50,2.47,0.211,0.000,36.5,3.504,3.504,1044.100,1320.363,93.940
1627194692.5764036,2021-07-25 02:31:32.576408,8,58,2.41,0.203,0.000,36.0,3.560,3.560,1038.900,1323.613,93.940
1627194696.1072824,2021-07-25 02:31:36.107286,9,66,2.41,0.195,0.000,36.3,3.531,3.531,1047.100,1335.266,93.940
1627194699.6100569,2021-07-25 02:31:39.610061,10,74,2.42,0.195,0.000,36.5,3.503,3.503,1044.000,1336.059,93.940
1627194703.1394782,2021-07-25 02:31:43.139482,11,81,2.28,0.203,0.000,36.3,3.529,3.529,1044.400,1344.711,93.940
1627194706.6953976,2021-07-25 02:31:46.695401,12,90,2.25,0.156,0.000,36.0,3.556,3.556,1038.600,1376.520,93.940
1627194710.2591016,2021-07-25 02:31:50.259105,13,98,2.29,0.281,0.000,35.9,3.564,3.564,1041.300,1380.383,93.940
1627194713.747437,2021-07-25 02:31:53.747441,14,105,2.22,0.234,0.000,36.7,3.488,3.488,1047.800,1378.418,93.940
1627194717.214693,2021-07-25 02:31:57.214696,15,113,2.20,0.312,0.000,36.9,3.467,3.467,1051.600,1385.730,93.940
1627194720.7122562,2021-07-25 02:32:00.712260,16,121,2.19,0.289,0.000,36.6,3.497,3.497,1039.600,1385.016,93.940
1627194724.252396,2021-07-25 02:32:04.252399,17,128,2.20,0.281,0.000,36.2,3.540,3.540,1035.600,1394.195,93.940
1627194727.7401,2021-07-25 02:32:07.740104,18,136,2.21,0.336,0.000,36.7,3.488,3.488,1041.100,1395.879,93.940
1627194731.2438219,2021-07-25 02:32:11.243825,19,145,2.26,0.266,0.000,36.5,3.504,3.504,1047.500,1395.566,93.940
1627194734.7599456,2021-07-25 02:32:14.759949,20,153,2.22,0.219,0.000,36.4,3.516,3.516,1042.600,1401.832,93.940
1627194738.3309388,2021-07-25 02:32:18.330942,21,159,2.24,0.242,0.000,35.8,3.571,3.571,1034.200,1412.871,93.940
1627194741.844237,2021-07-25 02:32:21.844241,22,167,2.15,0.219,0.000,36.4,3.513,3.513,1040.300,1419.414,93.940
1627194745.472492,2021-07-25 02:32:25.472495,23,175,2.26,0.398,0.000,35.3,3.628,3.628,1038.500,1422.551,93.940
1627194748.9692416,2021-07-25 02:32:28.969246,24,182,2.18,0.352,0.000,36.6,3.497,3.497,1044.400,1424.395,93.940
1627194752.4485848,2021-07-25 02:32:32.448588,25,190,2.22,0.195,0.000,36.8,3.479,3.479,1043.000,1425.113,93.940
1627194755.961819,2021-07-25 02:32:35.961823,26,198,2.15,0.266,0.000,36.4,3.513,3.513,1038.100,1431.203,93.940
1627194759.49699,2021-07-25 02:32:39.496993,27,205,2.23,0.312,0.000,36.2,3.535,3.535,1038.400,1429.652,93.940
1627194763.045876,2021-07-25 02:32:43.045881,28,212,2.19,0.305,0.000,36.1,3.549,3.549,1036.100,1428.168,93.940
1627194766.5425837,2021-07-25 02:32:46.542588,29,220,2.18,0.344,0.000,36.6,3.497,3.497,1046.400,1428.613,93.940
1627194770.1226718,2021-07-25 02:32:50.122675,30,227,2.02,0.242,0.000,35.8,3.580,3.580,1033.800,1434.301,93.940
1627194773.6254222,2021-07-25 02:32:53.625426,31,235,2.03,0.266,0.000,36.5,3.503,3.503,1046.600,1435.449,93.940
1627194777.1888213,2021-07-25 02:32:57.188825,32,243,2.06,0.297,0.000,35.9,3.563,3.563,1033.800,1431.266,93.940
1627194780.7259254,2021-07-25 02:33:00.725929,33,251,2.18,0.297,0.000,36.2,3.537,3.537,1035.000,1440.574,93.940
1627194784.2589502,2021-07-25 02:33:04.258954,34,258,2.09,0.328,0.000,36.2,3.533,3.533,1043.900,1431.023,93.940
1627194787.7038827,2021-07-25 02:33:07.703886,35,266,2.14,0.352,0.000,37.2,3.445,3.445,1047.300,1440.281,93.940
1627194791.2304883,2021-07-25 02:33:11.230492,36,273,2.03,0.391,0.000,36.3,3.526,3.526,1035.300,1437.352,93.940
1627194794.680432,2021-07-25 02:33:14.680435,37,281,2.06,0.312,0.000,37.1,3.450,3.450,1053.400,1444.234,93.940
1627194798.2126503,2021-07-25 02:33:18.212655,38,288,2.11,0.406,0.000,36.2,3.532,3.532,1038.700,1443.070,93.940
1627194801.72335,2021-07-25 02:33:21.723354,39,296,2.02,0.328,0.000,36.5,3.511,3.511,1045.100,1442.594,93.940
1627194805.21126,2021-07-25 02:33:25.211263,40,303,2.10,0.391,0.000,36.7,3.488,3.488,1040.700,1454.703,93.940
1627194808.7632704,2021-07-25 02:33:28.763276,41,311,2.10,0.297,0.000,36.0,3.552,3.552,1030.200,1455.363,93.940
1627194812.250644,2021-07-25 02:33:32.250647,42,319,2.02,0.320,0.000,36.7,3.487,3.487,1048.000,1451.598,93.940
1627194815.7392032,2021-07-25 02:33:35.739207,43,326,1.97,0.367,0.000,36.7,3.488,3.488,1037.100,1456.273,93.940
1627194819.361882,2021-07-25 02:33:39.361885,44,334,2.00,0.344,0.000,35.3,3.623,3.623,1030.200,1454.027,93.940
1627194822.9331937,2021-07-25 02:33:42.933198,45,342,1.99,0.328,0.000,35.8,3.571,3.571,1041.100,1451.828,93.940
1627194826.4641106,2021-07-25 02:33:46.464114,46,351,2.07,0.297,0.000,36.3,3.531,3.531,1037.700,1455.320,93.940
1627194829.9397132,2021-07-25 02:33:49.939717,47,359,2.12,0.359,0.000,36.8,3.475,3.475,1046.100,1453.617,93.940
1627194833.505198,2021-07-25 02:33:53.505202,48,367,2.01,0.320,0.000,35.9,3.565,3.565,1039.400,1456.418,93.940
1627194837.0386865,2021-07-25 02:33:57.038690,49,375,2.18,0.328,0.000,36.2,3.533,3.533,1051.100,1453.449,93.940
1627194840.536455,2021-07-25 02:34:00.536458,50,382,2.00,0.297,0.000,36.6,3.498,3.498,1046.400,1453.586,93.940
1627194844.1572263,2021-07-25 02:34:04.157230,51,390,2.00,0.336,0.000,35.4,3.621,3.621,1032.900,1453.133,93.940
1627194847.648716,2021-07-25 02:34:07.648721,52,398,2.00,0.375,0.000,36.7,3.491,3.491,1046.500,1459.797,93.940
1627194851.108965,2021-07-25 02:34:11.108969,53,404,2.11,0.320,0.000,37.0,3.460,3.460,1040.400,1453.559,93.940
1627194854.6179273,2021-07-25 02:34:14.617931,54,412,2.09,0.383,0.000,36.5,3.509,3.509,1045.300,1455.461,93.940
1627194858.0988712,2021-07-25 02:34:18.098875,55,420,1.93,0.336,0.000,36.8,3.481,3.481,1046.300,1454.801,93.940
1627194861.6896768,2021-07-25 02:34:21.689680,56,427,2.02,0.367,0.000,35.6,3.591,3.591,1040.700,1457.574,93.940
1627194865.2324493,2021-07-25 02:34:25.232453,57,435,1.97,0.398,0.000,36.1,3.543,3.543,1043.000,1455.266,93.940
1627194868.739205,2021-07-25 02:34:28.739208,58,441,1.97,0.383,0.000,36.5,3.507,3.507,1047.700,1457.766,93.940
1627194872.2154372,2021-07-25 02:34:32.215441,59,449,2.02,0.414,0.000,36.8,3.476,3.476,1042.200,1455.605,93.940
1627194875.7947807,2021-07-25 02:34:35.794784,60,457,2.00,0.336,0.000,35.8,3.579,3.579,1041.000,1457.867,93.940
1627194879.3693645,2021-07-25 02:34:39.369368,61,464,2.04,0.398,0.000,35.8,3.574,3.574,1041.200,1465.250,93.940
1627194882.9333205,2021-07-25 02:34:42.933324,62,472,1.90,0.398,0.000,35.9,3.564,3.564,1043.800,1464.906,93.940
1627194886.447971,2021-07-25 02:34:46.447974,63,480,2.02,0.281,0.000,36.4,3.514,3.514,1037.400,1464.168,93.940
1627194890.0425024,2021-07-25 02:34:50.042506,64,489,1.98,0.336,0.000,35.6,3.594,3.594,1042.400,1462.941,93.940
1627194893.603198,2021-07-25 02:34:53.603201,65,496,1.95,0.414,0.000,35.9,3.561,3.561,1042.200,1469.863,93.940
1627194897.1312294,2021-07-25 02:34:57.131233,66,504,1.98,0.344,0.000,36.3,3.528,3.528,1040.200,1470.770,93.940
1627194900.6879244,2021-07-25 02:35:00.687928,67,512,2.01,0.438,0.000,36.0,3.557,3.557,1041.700,1469.898,93.940
1627194904.2440789,2021-07-25 02:35:04.244082,68,520,1.96,0.352,0.000,36.0,3.556,3.556,1039.000,1473.105,93.940
1627194907.8015642,2021-07-25 02:35:07.801568,69,526,1.88,0.352,0.000,36.0,3.557,3.557,1040.900,1470.070,93.940
1627194911.2773576,2021-07-25 02:35:11.277364,70,534,1.94,0.414,0.000,36.8,3.476,3.476,1046.100,1469.910,93.940
1627194914.7816424,2021-07-25 02:35:14.781647,71,542,1.85,0.383,0.000,36.5,3.504,3.504,1039.300,1472.863,93.940
1627194918.302217,2021-07-25 02:35:18.302221,72,549,1.97,0.406,0.000,36.4,3.520,3.520,1037.600,1467.672,93.940
1627194921.825322,2021-07-25 02:35:21.825325,73,557,1.97,0.320,0.000,36.3,3.523,3.523,1042.300,1472.781,93.940
1627194925.3571858,2021-07-25 02:35:25.357189,74,564,1.95,0.352,0.000,36.2,3.532,3.532,1042.500,1473.074,93.940
1627194928.9117393,2021-07-25 02:35:28.911743,75,572,1.91,0.500,0.000,36.0,3.554,3.554,1045.400,1468.566,93.940
1627194932.453948,2021-07-25 02:35:32.453951,76,580,1.95,0.383,0.000,36.1,3.542,3.542,1042.000,1476.891,93.940
1627194936.0153537,2021-07-25 02:35:36.015357,77,587,1.82,0.422,0.000,35.9,3.561,3.561,1044.000,1471.934,93.940
1627194939.5923269,2021-07-25 02:35:39.592331,78,595,2.00,0.391,0.000,35.8,3.577,3.577,1033.600,1471.062,93.940
1627194943.1000595,2021-07-25 02:35:43.100063,79,603,1.92,0.375,0.000,36.5,3.508,3.508,1046.800,1474.934,93.940
1627194946.5862033,2021-07-25 02:35:46.586207,80,611,1.90,0.406,0.000,36.7,3.486,3.486,1049.900,1472.777,93.940
1627194950.1702967,2021-07-25 02:35:50.170300,81,620,1.85,0.422,0.000,35.7,3.584,3.584,1035.400,1473.867,93.940
1627194953.674429,2021-07-25 02:35:53.674432,82,627,1.85,0.414,0.000,36.5,3.504,3.504,1045.600,1484.383,93.940
1627194957.2575302,2021-07-25 02:35:57.257533,83,635,1.87,0.383,0.000,35.7,3.583,3.583,1037.400,1482.660,93.940
1627194960.763108,2021-07-25 02:36:00.763112,84,643,1.84,0.484,0.000,36.5,3.505,3.505,1038.100,1480.891,93.940
1627194964.369653,2021-07-25 02:36:04.369658,85,650,1.82,0.375,0.000,35.5,3.606,3.606,1036.800,1483.141,93.940
1627194967.977955,2021-07-25 02:36:07.977959,86,657,1.78,0.453,0.000,35.5,3.608,3.608,1027.000,1480.242,93.940
1627194971.5329611,2021-07-25 02:36:11.532965,87,665,1.73,0.461,0.000,36.0,3.555,3.555,1044.200,1479.879,93.940
1627194975.1110675,2021-07-25 02:36:15.111072,88,673,1.79,0.430,0.000,35.8,3.578,3.578,1029.900,1479.496,93.940
1627194978.5889482,2021-07-25 02:36:18.588952,89,681,1.78,0.477,0.000,36.8,3.478,3.478,1048.300,1479.602,93.940
1627194982.077662,2021-07-25 02:36:22.077665,90,689,1.75,0.453,0.000,36.7,3.489,3.489,1045.900,1483.914,93.940
1627194985.6177115,2021-07-25 02:36:25.617715,91,695,1.80,0.383,0.000,36.2,3.540,3.540,1036.700,1485.383,93.940
1627194989.1564505,2021-07-25 02:36:29.156454,92,703,1.78,0.375,0.000,36.2,3.539,3.539,1043.300,1481.266,93.940
1627194992.7560294,2021-07-25 02:36:32.756033,93,710,1.82,0.453,0.000,35.6,3.599,3.599,1034.300,1485.219,93.940
1627194996.3008566,2021-07-25 02:36:36.300860,94,718,1.92,0.375,0.000,36.1,3.545,3.545,1040.400,1492.422,93.940
1627194999.7490811,2021-07-25 02:36:39.749085,95,726,1.90,0.445,0.000,37.1,3.448,3.448,1047.500,1492.207,93.940
1627195003.33037,2021-07-25 02:36:43.330374,96,734,1.81,0.414,0.000,35.7,3.581,3.581,1034.800,1489.582,93.940
1627195006.897353,2021-07-25 02:36:46.897359,97,741,1.94,0.375,0.000,35.9,3.567,3.567,1040.100,1489.809,93.940
1627195010.3578737,2021-07-25 02:36:50.357877,98,750,1.98,0.422,0.000,37.0,3.460,3.460,1038.000,1488.738,93.940
1627195013.8832998,2021-07-25 02:36:53.883303,99,758,1.74,0.359,0.000,36.3,3.525,3.525,1036.500,1496.141,93.940
1627195017.398444,2021-07-25 02:36:57.398447,100,766,1.89,0.461,0.000,36.4,3.515,3.515,1028.100,1493.543,93.940
1627195020.9577112,2021-07-25 02:37:00.957716,101,773,1.61,0.383,0.000,36.0,3.559,3.559,996.800,1492.895,93.940
1627195024.4637728,2021-07-25 02:37:04.463778,102,780,1.69,0.398,0.000,36.5,3.506,3.506,1006.600,1487.828,93.940
1627195028.03144,2021-07-25 02:37:08.031444,103,787,1.95,0.391,0.000,35.9,3.567,3.567,1025.300,1487.332,93.940
1627195031.514429,2021-07-25 02:37:11.514433,104,795,1.79,0.430,0.000,36.8,3.483,3.483,1042.800,1485.957,93.940
1627195035.115457,2021-07-25 02:37:15.115461,105,803,1.88,0.352,0.000,35.5,3.601,3.601,1043.900,1487.488,93.940
1627195038.7258942,2021-07-25 02:37:18.725898,106,810,1.82,0.406,0.000,35.5,3.610,3.610,1032.800,1492.438,93.940
1627195042.2639158,2021-07-25 02:37:22.263919,107,818,1.85,0.328,0.000,36.2,3.538,3.538,1044.600,1490.719,93.940
1627195045.8251321,2021-07-25 02:37:25.825135,108,826,1.79,0.375,0.000,35.9,3.561,3.561,1030.300,1493.383,93.940
1627195049.3624122,2021-07-25 02:37:29.362417,109,833,1.77,0.469,0.000,36.2,3.537,3.537,1042.000,1488.883,93.940
1627195052.9235344,2021-07-25 02:37:32.923538,110,841,1.70,0.430,0.000,35.9,3.561,3.561,1048.300,1491.523,93.940
1627195056.4543953,2021-07-25 02:37:36.454400,111,849,1.71,0.414,0.000,36.3,3.531,3.531,1032.900,1492.594,93.940
1627195060.0282962,2021-07-25 02:37:40.028300,112,857,1.77,0.359,0.000,35.8,3.574,3.574,1037.200,1492.422,93.940
1627195063.5830023,2021-07-25 02:37:43.583006,113,864,1.91,0.414,0.000,36.0,3.555,3.555,1029.300,1490.164,93.940
1627195067.1566434,2021-07-25 02:37:47.156648,114,872,1.74,0.492,0.000,35.8,3.573,3.573,1034.000,1488.172,93.940
1627195070.6277351,2021-07-25 02:37:50.627740,115,880,1.78,0.438,0.000,36.9,3.471,3.471,1053.000,1490.797,93.940
1627195074.2417996,2021-07-25 02:37:54.241804,116,888,1.82,0.484,0.000,35.4,3.614,3.614,1031.200,1491.840,93.940
1627195077.7746952,2021-07-25 02:37:57.774699,117,895,1.83,0.422,0.000,36.2,3.533,3.533,1046.500,1492.504,93.940
1627195081.2800717,2021-07-25 02:38:01.280075,118,903,1.72,0.398,0.000,36.5,3.505,3.505,1039.300,1493.324,93.940
1627195084.7770128,2021-07-25 02:38:04.777016,119,911,1.67,0.438,0.000,36.6,3.497,3.497,1042.600,1494.008,93.940
1627195088.2577684,2021-07-25 02:38:08.257772,120,918,1.82,0.516,0.000,36.8,3.481,3.481,1048.600,1490.609,93.940
1627195091.8752055,2021-07-25 02:38:11.875209,121,925,1.79,0.477,0.000,35.4,3.617,3.617,1034.700,1486.906,93.940
1627195095.5060337,2021-07-25 02:38:15.506038,122,933,1.69,0.438,0.000,35.3,3.631,3.631,1033.100,1492.594,93.940
1627195099.104318,2021-07-25 02:38:19.104322,123,941,1.81,0.328,0.000,35.6,3.598,3.598,1027.400,1489.098,93.940
1627195102.6031988,2021-07-25 02:38:22.603202,124,950,1.80,0.438,0.000,36.6,3.499,3.499,1041.800,1494.887,93.940
1627195106.164075,2021-07-25 02:38:26.164079,125,957,1.83,0.422,0.000,35.9,3.561,3.561,1035.700,1491.777,93.940
1627195109.7523677,2021-07-25 02:38:29.752371,126,965,1.61,0.445,0.000,35.7,3.588,3.588,1030.000,1493.738,93.940
1627195113.390876,2021-07-25 02:38:33.390879,127,973,1.93,0.461,0.000,35.2,3.638,3.638,1035.300,1487.477,93.940
1627195116.942987,2021-07-25 02:38:36.942990,128,981,1.68,0.508,0.000,36.0,3.552,3.552,1041.400,1493.070,93.940
1627195120.5199742,2021-07-25 02:38:40.519978,129,989,1.64,0.430,0.000,35.8,3.577,3.577,1038.600,1493.500,93.940
1627195124.1986423,2021-07-25 02:38:44.198646,130,996,1.75,0.477,0.000,34.8,3.679,3.679,1027.500,1495.031,93.940
